	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews	
55	3329 Fulton Rd	YnvUFIZVvxsL5L4PEmWcUQ	11.0	Worth Visiting	Joe De's Favorite Pizza & Restaurant	3.0	3.5	13	
56	1600 W 2nd St	VQGetWNN1f0dMWQ6ehDAVg	201.0	Worth Visiting	Morton's The Steakhouse	3.0	3.2	68	
57	6410 Detroit Rd	CzcfYhCbzPoVEgVZfOgw8A	25.0	Worth Visiting	The Boiler 65	4.0	3.6	54	
58	12020 Mayfield Rd	GCr0eTVnVzFE72c-VJezoQ	99.0	Must Visit!	Angelo's Nido Italia	4.0	3.8	77	
59	3615 Superior Ave E	Dt-ygvMchiw0wrWpocGOeg	26.0	Must Visit!	Byte Cafe	4.0	4.4	38	
60	1433 Som Ctr Rd	R13VkcyUIU3xG2fRFbBvBA	160.0	Worth Visiting	Cafe 56	4.0	3.5	47	
61	2549 Lorain Ave	Ufo0Papm3oyoCfBvnsJH7g	568.0	Jewel of a place!	Bonbon Pastry and Cafe	4.0	3.6	223	
62	7901 Euclid Ave	pi1UM_U1hq-DwDYqQRK1Wg	3.0	At your own risk	Hunan One	3.0	2.8	6	
63	3561 Steelyard Dr	Gf1W5_Gcu_yn4sF28JkVXA	32.0	At your own risk	Jimmy John's	3.0	3.1	13	
64	2043 E 4th St	vdloJPM3bSpQTMlwdFek2A	779.0	Jewel of a place!	Butcher and the Brewer	4.0	3.8	365	
65	Cleveland Hopkins International Airport, Concourse D, 5300 Riverside Dr	uqKwC97wBEcNdzYw_SBjlw	105.0	At your own risk	Obrycki's	3.0	2.6	20	
66	2547 Lorain Ave	zo9fKM_Sty6qGztXKoMPmQ	15.0	At your own risk	Dave's Cosmic Subs	3.0	3.1	16	
67	12910 Taft Ave	v5MjMhbdEn2fSCtvmXdgZQ	3.0	Worth Visiting	Betty's Bomb Ass Burgers	4.0	4.2	16	
68	7325 Euclid Ave	jPrN8a-JW-wA52NPwE0VoQ	14.0	At your own risk	Famous Gyro George	4.0	3.5	6	
69	3211 Payne Ave	wftmt-n8OUA4Ng3bWWH5dw	695.0	Jewel of a place!	Wonton Gourmet & BBQ	4.0	4.3	220	
70	17004 Lorain Ave	9Dpk8U2-7bETxk6MSfCM-A	137.0	At your own risk	Smedley's Bar & Grill	3.0	3.1	13	
71	12678 Rockside Rd	qmm3eoSgi_tCZx9h-zSOFg	5.0	Worth Visiting	Don Tequila Mexican Restaurant	4.0	4.0	3	
72	2038 E 4th St	GIfZNMP0oIJCje_Xp0Bgrw	1890.0	Jewel of a place!	The Greenhouse Tavern	4.0	3.7	927	
73	12018 Mayfield Rd	91diBNaSiwHr6tUXXJee-Q	68.0	Must Visit!	Anthonys of Little Italy	4.0	3.9	65	
74	2717 Lorain Ave	B7pVrERldmQmrbkSU_wjgg	80.0	Must Visit!	Hansa Brewery	4.0	4.0	59	
75	11302 Euclid Ave	dCRjbHW3JCQwQMl6tvjWiw	247.0	At your own risk	Starbucks	3.0	3.2	19	
76	5517 Memphis Ave	hiIc3UeDYlWsoT8D3FsczQ	7.0	Its your say finally!	Monkey Bar And Grill	2.0	2.0	6	
77	6030 Mayfield Rd	3bM9rmjbaLOrlS--dRzZAw	5.0	Worth Visiting	El Rodeo Authentic Mexican Restaurant	4.0	3.6	11	
78	8104 Broadway Ave	xJfM3UbnaQkLPEMZgLNuyQ	7.0	Its your say finally!	Wendy's	3.0	2.7	3	
79	13434 Cedar Rd	4xnVH2jTVwrsO88q_jHWWw	104.0	Must Visit!	pizzaBOGO	4.0	4.1	66	
80	4225 Fulton Rd	kS_xANADJil_EGX6gmMa5A	3.0	At your own risk	China City	3.0	3.4	7	
81	691 Richmond Rd	_y6D2jXsM5S7hWHcIy2NoQ	2.0	At your own risk	Sub City	3.0	3.3	3	
82	4500 Mayfield Rd	hVyvFxmlWpGDQviQ4tls9Q	14.0	Its your say finally!	McDonald's	2.0	2.0	5	
83	230 W Huron Rd	CpGUTcon4cwFxerQUcA22A	10.0	Worth Visiting	Sakkio Japan	4.0	3.8	5	
84	4000 Mayfield Rd	6oOIpBNo0h3hrtx8aFCv6g	23.0	Its your say finally!	Rally's Hamburgers	2.0	2.2	12	
85	779 E 185th St	_KD8Fua-jFlEXHCwVTY-cQ	112.0	Must Visit!	The Standard	4.0	4.1	97	
86	815 Superior Ave E	kXIJwryYY2xDHNnI7jz-WQ	525.0	Jewel of a place!	Pho Thang Cafe	4.0	4.3	191	
87	3870 Lee Rd	doz0Zf14FVyj4f2knQO30A	17.0	Its your say finally!	Beckham's B&M Bar-B-Que	2.0	1.7	26	
88	5164 Pearl Rd	aAVydRJ23okd1AHi2AS4Mw	37.0	At your own risk	Cleveland Corned Beef	3.0	2.8	38	
89	1290 W 6th St	SeOQ32EwCxusSbSTwx4aRA	5.0	Its your say finally!	Panini's Bar & Grill	2.0	2.0	5	
90	9717 Lorain Ave	aL8D2ko6lQ3oGGFeCqSPOw	16.0	Worth Visiting	B & J's Corned Beef Shoppe & Deli	4.0	4.0	5	
91	5300 Riverside Dr	PMbOqZqr17lbwMD7kZYJnQ	71.0	Its your say finally!	Gordon Biersch	2.0	1.7	27	
92	3040 Carnegie Ave	gJ5xSt6147gkcZ9Es0WxlA	12.0	Worth Visiting	Rally's Hamburgers	4.0	3.7	3	
93	2123 E 2nd St	aGMU3qMFOQzG0DT2akMfng	6.0	Worth Visiting	2nd & High Social House	4.0	3.6	14	
94	1836 W 25th St	MNNplhqyy5APhT4ny4yAVA	5.0	Worth Visiting	Weenie a Go Go	4.0	3.8	9	
95	2033 E 14th	DYhGhT9bvsija74RVt8tCQ	15.0	At your own risk	Alex Bistro & Bar CLOSED	3.0	2.9	18	
96	9751 Chester Ave	1ktw2saTrIr_YJSxQjhnpg	8.0	Must Visit!	Urban Kitchen & Deli	5.0	4.8	16	
97	3650 W 117th St	d9fHu9xEmCDs9ShFIWEMZw	27.0	Must Visit!	Kifaya's Kitchen	5.0	4.7	23	
98	4517 State Rd	rDegp5eG69OVtXo2380p4Q	79.0	Must Visit!	Cafe Miami	5.0	4.5	57	
99	900 E 9th St	6TLXwyo6rYgi_Tc2yyEgfQ	3.0	Its your say finally!	Blazing Bistro	3.0	2.7	3	
100	12309 Mayfield Rd	OzRGWW5R05kC0pQyUHX3lg	95.0	Must Visit!	Guarino's Restaurant	3.0	3.4	97	
101	668 Euclid Ave	bLi48v8Div6Qm2Fyaw0C6Q	799.0	Jewel of a place!	Hodge's	4.0	3.8	327	
102	3468 Mayfield Rd	OPIX1wTOll0aZT08Wr6sDw	24.0	Worth Visiting	China Dragon	4.0	3.6	9	
103	2173 Professor Ave	IoXcQkLpEaiv6S7ITelLWg	57.0	Must Visit!	Ushabu	4.0	4.4	74	
104	2100 Superior Via	8CRoFhyVzple6ji3S1_L-A	5.0	Worth Visiting	Ponte Vecchio	4.0	4.0	15	
105	3260 W 105th St	g8_Tf84s9E1vh5c3BC7Zzg	12.0	Must Visit!	Miramar	5.0	4.8	4	
106	4133 Lorain Ave	IJlEACzNH-i_6Ovppj1KSQ	83.0	Must Visit!	The Plum	4.0	4.3	75	
107	2885 Detroit Ave	Jd9L7pNhC982XeCNbPncXg	74.0	Must Visit!	Saucy Brew Works	4.0	3.5	82	
108	6339 Olde York Rd	v21dSJb78W3NM41cC8MMuA	1.0	Must Visit!	India Grill	5.0	4.7	6	
109	627 Prospect Ave E	A7i_H252XydtrK7BUTvoog	215.0	Jewel of a place!	Stonetown	3.0	3.4	183	
110	3710 Payne Ave, Ste 106	228mfqUuGbnCs1kiupJXZw	346.0	Jewel of a place!	Map of Thailand	4.0	4.3	152	
111	7412 Detroit Ave	CtYWpX_cy1YdZgoKtS0Tqg	7.0	Its your say finally!	Happy's Pizza	2.0	1.9	17	
112	6710 Smith Rd	UDiMCb4LKowlozI5mhtO_A	292.0	Must Visit!	Rivals Sports Grille	4.0	4.1	72	
113	3401 Steelyard Dr	Occo0_pOXAUG-eL6gazeGQ	55.0	Its your say finally!	Applebee's Neighborhood Grill & Bar	2.0	2.5	16	
114	14490 Cedar Rd	MHxce6ztMkbYHR8z3Z1q3g	320.0	Must Visit!	Jack's Deli & Restaurant	4.0	4.0	128	
115	6643 Mayfield Rd	rV6PwAjgpTx5Knr5lYouoQ	53.0	Worth Visiting	Master Pizza	3.0	3.4	46	
116	100 Public Sq	0ZPuFZMMYfRa3FRfjddCDA	62.0	At your own risk	The Spread Buffet	3.0	2.6	36	
117	21 Prospect Ave	IXLDpnSLYiyz9tjOrpCFpA	717.0	Worth Visiting	Tilted Kilt Pub & Eatery	3.0	2.7	101	
118	3820 Superior Ave	F6a-o0Ig1iSVamX1LbdDEg	59.0	Worth Visiting	Pho 99	4.0	4.0	25	
119	6169 Mayfield Rd	iJpmIt-i9-VeChouLcPXbA	54.0	Worth Visiting	Arrabiata's Italian Restaurant	4.0	3.5	38	
120	5557 Wilson Mills Rd	TokG1L02Eic6gHRFa0gFYQ	6.0	Must Visit!	Biagio Deli & Beverage	5.0	4.7	7	
121	3106 Saint Clair Ave NE	1veVZUawy7IhIc5oDpRRQA	556.0	Jewel of a place!	Slyman's Restaurant	5.0	4.6	385	
122	240 Euclid Ave	6XkWMEJc3ecJH6HKKjfclA	130.0	At your own risk	Jimmy John's	3.0	2.8	14	
123	724 Richmond Rd	I2lDmQHDxnUKbEBJuJCW6w	135.0	Must Visit!	Hunan East	4.0	3.8	69	
124	18812 Nottingham Rd	2qTT_zT99eHT4XqEJTOKLA	14.0	Worth Visiting	Congin's Pizza	4.0	4.1	15	
125	2053 Ontario St	iIe6PLxsZDVyrKf4ziKxyw	511.0	Must Visit!	Ontario Street Cafe	4.0	4.5	78	
126	4824 Ridge Rd	qML8HCfDh7vmIxvbt1QgOg	38.0	Its your say finally!	Cicis	2.0	2.0	27	
127	748 Prospect Ave E	UtyW9cHs9Z8vIEt8I9aIeA	823.0	Must Visit!	City Tap	3.0	3.4	122	
128	812 Huron Rd E	Lox6-6gfbRXgc4VMMwPb7g	289.0	Worth Visiting	Thirsty Parrot	4.0	3.5	40	
129	5993 Mayfield Rd	lbUKEN7XVdD_FEF61TlQeA	13.0	Worth Visiting	Arby's	4.0	3.8	4	
130	4116 Lorain Ave	taZtZfRU6AG-Q5T0CIS46Q	171.0	Worth Visiting	Nick's Diner	4.0	3.5	58	
131	170 Euclid Ave	s9CG5XGXJQpP03iYFIHeLA	478.0	Jewel of a place!	Pura Vida	4.0	4.1	202	
132	5517 Memphis Ave	rg2VaD3zfmW_Itj5NR9iLA	20.0	At your own risk	Fat Guys	3.0	3.4	8	
133	14201 Harvard Ave	HYN6S4Z7bMR68TF2lX3NIw	19.0	At your own risk	Harvard Wine & Grill	3.0	2.7	7	
134	2765 E 55th St	o1TZ62VQ8RBoYv2B8v9UUg	3.0	Its your say finally!	China One	2.0	1.8	5	
135	1400 W 6th St	J4jxIxv_vgmWHCajos_B8w	833.0	Jewel of a place!	Taza A Lebanese Grill	4.0	4.3	193	
136	230 W Huron Rd, Ste 7242	mmtjbwUUjw266ulkEnRX3Q	19.0	Worth Visiting	Shanghai Joe	4.0	3.9	7	
137	1332 Carnegie Ave	4GkiahNmE3G3-RFn3xrAYg	95.0	Worth Visiting	Carnegie Kitchen & Dining	4.0	3.7	39	
138	5240 Turney Rd	z7h3_K5lg3RnYieq04C0Vg	7.0	Its your say finally!	McDonald's	1.0	1.0	4	
139	5320 State Rd	RahdAQ5h6_nu50jeR2EKTQ	1.0	Worth Visiting	State Road Pizza	4.0	4.3	7	
140	4350 Mayfield Rd	imyKBHJGFixHJ2bh400b7Q	16.0	Its your say finally!	Geppetto's Pizza & Ribs	2.0	2.4	8	
141	4446 Mayfield Rd	6eZSIV10RAdZRNXQLE_w6w	6.0	Its your say finally!	Kalie's Restaurant	2.0	2.4	7	
142	22382 Lake Shore Blvd	WsU35CfVBFzIke3PqkH5eg	46.0	At your own risk	Kim's Wings	3.0	3.0	12	
143	16826 Lakeshore Blvd	2Q542Nf2F84HhdbhGCC7nw	2.0	Its your say finally!	Blue Breeze	3.0	2.7	3	
144	13050 Brookpark Rd	B04F5Jvb4JsZdr0Sc9mbgA	31.0	Its your say finally!	Bob Evans	3.0	2.6	13	
145	Cleveland Hopkins International Airport, 5300 Riverside Dr	9YYBnnVT1j1Y61e6qb9oZQ	19.0	Its your say finally!	Cheeburger Cheeburger	2.0	2.1	9	
146	1091 W 10th St	BsvCTCVG7lrzXZ68VyyIcg	279.0	Must Visit!	Lago East Bank	4.0	3.8	142	
147	2401 Scranton Rd	NbjeMaUoYT_XUB8PWnwLkw	6.0	Its your say finally!	Pizza Pan	2.0	2.0	5	
148	4912 Pearl Rd	Ged33xMUz2TpAgzxycGfVw	9.0	Worth Visiting	El Rinconcito Chapin	4.0	4.1	9	
149	1075 Old River Rd	sFz9UyOTZLMAfSP0yyIODQ	21.0	Worth Visiting	Thirsty Dog Brewing - East Bank	4.0	4.1	14	
150	6649 Pearl Rd	4TFm4xk1y3lSeInw0r0ALA	2.0	At your own risk	Papa John's Pizza	3.0	3.0	4	
151	5300 Riverside Dr	AFafWFYGKjJZ1pTvjnot2g	355.0	Worth Visiting	The Pub	3.0	2.9	105	
152	22019 Emery Rd	x0yfZo7V6WDEE6voAKpC1w	14.0	Its your say finally!	Georgio Oven Fresh Pizza	3.0	2.7	3	
153	230 W Huron Rd	NHersw9tR7dnmlZINOBi9Q	34.0	Its your say finally!	McDonald's	1.0	1.0	6	
154	1785 Merwin Ave	2nn6Sx5EFpzFbsy5cJYHUg	248.0	Must Visit!	Merwin's Wharf	3.0	3.3	147	
155	15020 Puritas Ave	de2E6-wKURd0RLJaq8mrTg	25.0	Its your say finally!	Happy's Pizza	2.0	2.3	15	
156	3314 Steelyard Drive	0kyVqnMoflj3DLDecGK89Q	29.0	Its your say finally!	Taco Bell	2.0	2.4	16	
157	564 E 185th St	uNsMn44UOp58l62_Jj8bmQ	15.0	At your own risk	Fresh Catch Seafood	3.0	3.0	5	
158	5750 Mayfield Rd	q0PH5CjXSdmpL-LLgCNdeA	48.0	Must Visit!	Ferrara's Imported Foods	5.0	4.7	29	
159	5164 Pearl Rd	ghNYyKxJsyvOBDFIh8YDDQ	4.0	At your own risk	Corky & Lenny's Express	3.0	3.0	5	
160	11626 Madison Ave	rHX9R1blojU6xK7XhSCSsw	13.0	Worth Visiting	Jinna's Hookah Café	5.0	4.7	3	
161	4728 Pearl Rd	J5tGb5yI9-bMEohZrtf0SQ	17.0	Worth Visiting	Carmino's Pizza	3.0	3.4	34	
162	615 Prospect Ave E	Lh-JAmxrTPmFoeBkRNXrZA	101.0	At your own risk	Nick's Sports Corner	3.0	2.8	13	
163	17125 Lorain Ave	yNb_PHvkAMGA0NU25L-kgg	4.0	Its your say finally!	Papa John's Pizza	2.0	2.2	4	
164	6064 Broadview Rd	BBpEOprko-9I8bnon9N0ew	4.0	At your own risk	Ni's Express Chinese Restaurant	3.0	3.2	20	
165	603 Prospect Ave E	ZL-4ejIO3DCgSsdRWwsX-A	211.0	Must Visit!	Vincenza's Pizza & Pasta	4.0	4.2	75	
166	13220 Shaker Sq	xBgQ4T6mhS5VsmK9u6mBcg	433.0	Jewel of a place!	Fire	4.0	4.2	221	
167	10435 Clifton Blvd	Hy_UuNOaOgpoBDo-d-kcbw	52.0	Must Visit!	Gabe's Deli	4.0	4.4	42	
168	1550 Chester Ave	eoJfl5vG7X87QhcKb0nt5Q	590.0	Jewel of a place!	Hofbrauhaus Cleveland	3.0	3.2	272	
169	12335 St Clair Ave	hcrjdLHf8UlR-D1-rTEkfw	35.0	Worth Visiting	Open Pitt Barb-B-Que	3.0	3.3	32	
170	10800 Lorain Ave	BF1orcrZTPLUOx-tRKcAGA	15.0	Its your say finally!	Taco Bell	2.0	2.0	3	
171	820 College Ave	9mI2BHTu0at_JA3RA_AEeg	700.0	Must Visit!	The Treehouse	4.0	3.5	110	
172	13133 Shaker Sq	XBRCMc3rcvcRXrB3p-o9yA	122.0	Must Visit!	Balaton Restaurant	4.0	4.0	95	
173	3843 Riveredge Rd	ZUkF0syMMAF1rRiLK-J-Dg	1.0	Its your say finally!	Mashawi Darna	2.0	2.4	5	
174	2075 W 25th St	ZeB9AUZ6pdZmpWQGSx8NKA	7.0	Its your say finally!	Pizza Hut	2.0	2.0	9	
175	6251 Mayfield Rd	suIn6SJHBJaOVOOikpWNOg	8.0	At your own risk	Burger King	3.0	3.0	3	
176	6328 Pearl Rd	m5t6Ork5uMHRvIlCmP6ULQ	12.0	At your own risk	China Chef	3.0	3.2	14	
177	6850 Brook Park Rd	1Mf0UInsuxMNfJjzy0rTBQ	15.0	Its your say finally!	Denny's	1.0	1.2	30	
178	1701 E 12th St	Rjq4R_AsDNC8E52FPdZ28g	47.0	Its your say finally!	Pacer's Rib House	2.0	2.5	6	
179	10413 Lorain Ave	VbPPexfp8wa7Fjqp3tRDmw	13.0	Worth Visiting	Sahara International	4.0	4.1	10	
180	2393 Professor Ave	OD2dbQTKN7FS01fHzZqqzA	552.0	Jewel of a place!	The Bourbon Street Barrel Room	4.0	4.1	292	
181	4211 Lorain Ave	bK5nWi1oNs63utSlzmRUNg	72.0	Must Visit!	Xinji Noodle Bar	4.0	3.8	57	
182	1903 Ford Dr	tUjyGFSN8wQqLgKp5Q0CUA	124.0	Must Visit!	Trentina	4.0	3.8	102	
183	6871 Pearl Rd	g0APw_zhwwHoLjSlHEsTzw	31.0	Its your say finally!	Applebee's Neighborhood Grill & Bar	3.0	2.6	12	
184	4213 E 131st St	gaX7uryTDU18sT5Az0pRxw	1.0	Worth Visiting	Country Style Jamaican Restaurant	4.0	4.2	4	
185	6779 Ames Rd	U-wZPV97TC3cAmIPyupwXA	27.0	At your own risk	Victoria's Deli & Restaurant	3.0	3.4	12	
186	1801 E 9th St	bbnpPdoRymorHJLY2owBiQ	178.0	Worth Visiting	The Market Cafe and Wine Bar	4.0	3.6	29	
187	12980 W Sprague Rd	Jdqg97lLo_qJlCqU9RjIEA	26.0	At your own risk	Dairy Queen	3.0	3.4	7	
188	17100 Royalton Rd	sYo2QHxXMnO1IfALy21tIg	5.0	At your own risk	Pure DeLite Strongsville	3.0	2.8	15	
189	11100 Euclid Ave	sSb41sJghGm2nEkuzzJEBw	2.0	Its your say finally!	Einstein Bros	2.0	2.2	4	
190	Kamms Corners, 3768 Rocky River Dr	HPtTqirOkZArADg2FLr0eg	112.0	At your own risk	pizzaBOGO	3.0	3.4	8	
191	2912 Euclid Ave	nI36UCs4cQUNxbMO5BxrUg	44.0	Worth Visiting	Pasha Cafe	4.0	3.8	13	
192	1835 Fulton Rd	F2pfjAZ_3dMTGCKv6c5wOw	979.0	Jewel of a place!	Momocho	4.0	4.1	654	
193	14939 Puritas Ave	N5w41qCOYCxhmMX5C2XgUg	11.0	Worth Visiting	Cleveland Deli and Beverage	4.0	3.7	3	
194	263 Babbitt Rd	IHYqkS2xEZLBS5J9iez_lQ	8.0	Its your say finally!	Burger King	2.0	2.3	3	
195	2075 Snow Rd	se2a2QaJi8Yx_KjE1r-_sQ	17.0	Its your say finally!	Eat'n Park Restaurant	2.0	2.1	17	
196	1100 Superior Ave	wgrgeVG_UuxEeN18FHodIQ	6.0	Worth Visiting	Cafe 1100 Express	4.0	4.0	3	
197	1800 Euclid Ave	1LbvFwxbLepIpDasI-Pshg	20.0	Its your say finally!	Subway	2.0	2.1	10	
198	4866 Richmond Rd	ajCLNse9PXoZniKna0S69Q	126.0	Worth Visiting	Don Ramon	4.0	3.8	30	
199	1276 W 6th St	UeKaHOLZATrb1H-XW3AiFQ	55.0	Worth Visiting	Holy Craft!	4.0	3.9	12	
200	5800 Detroit Ave	yGoA3jHUWfRzx8c6BiF5Ng	2.0	Worth Visiting	La Boca Barrio	4.0	3.8	4	
201	1947 W 25th St	gNER9lE1Ma9FLm9MBsvYgg	2180.0	Jewel of a place!	Market Garden Brewery	3.0	3.5	482	
202	4081 Rocky River Dr	fxw_kCJJDSQDtY7QJ66Fog	61.0	Worth Visiting	Cone Zone and Grill	4.0	4.4	16	
203	11001 Euclid Ave	cfsXuDfeSX24tInGNEoc2A	18.0	At your own risk	Severance Restaurant	3.0	3.3	9	
204	2533 E 55th St	_Y13P59dGTpV7b8xKktLeQ	5.0	Its your say finally!	Sakura Japanese Cuisine	2.0	2.3	3	
