	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews	
69	14900 N Pima Rd, Ste 103	UdoRqx5AYhhGBH9GGtUZ7w	466.0	At your own risk	Jimmy John's	3.0	2.7	66	
70	8608 E Shea Blvd	9JyyXlFBHCdoP6TRQ3cqbA	1225.0	Jewel of a place!	Scottsdale Beer Company	4.0	4.1	378	
71	15507 N Scottsdale Rd, Ste 100	eUSEDA0FpFMAjsyQFKHEGg	330.0	Worth Visiting	Corner Bakery Cafe	4.0	3.7	106	
72	7366 E Shea Blvd, Ste 110	WzVFBhckDWtyFUfC9o9bGA	726.0	Must Visit!	Coconut's Fish Cafe	4.0	4.5	175	
73	7150 E Thomas Rd	3c8GQB0RiXK5ceRSpo5dow	371.0	Must Visit!	Suh Noi - The Little Thaiger	4.0	4.2	161	
74	8320 N Hayden Rd, E-108 - 10	Jg0mxuXZbuCKI91TQtKwDA	468.0	Worth Visiting	Chipotle Mexican Grill	4.0	3.8	50	
75	6107 N Scottsdale Rd	jiGzqUIhAiitZvC8bXds4Q	1.0	Worth Visiting	Ice Tango	4.0	4.4	17	
76	7341 E 6th Ave	uBUA42DfGdmaqgZObR_lDA	26.0	Worth Visiting	Mr. Bigg's	4.0	4.0	6	
77	9150 E. Indian Bend	TH34Fsp9fkARGhKa6u3qrQ	511.0	Worth Visiting	Filiberto's Mexican Food	3.0	3.1	81	
78	6137 North Scottsdale Rd, Ste 102	ASvQjxsHVd8J8o_kHJUQiQ	422.0	Worth Visiting	MAD Greens - Hilton Village	4.0	4.0	59	
79	20715 N Pima Rd, Ste F1	jGH9DMTUojegjQZ4anb1kQ	6.0	At your own risk	Eddie V's Prime Seafood	4.0	3.5	21	
80	1334 N Scottsdale Rd	7XTGtaKjANmZqp2QtN_iPA	570.0	Worth Visiting	British Open English Pub & Grill	4.0	3.6	106	
81	9380 N 90th St	QlzrA_Xirb761oEbUZ-0Nw	57.0	Its your say finally!	Wendy's	2.0	2.4	23	
82	7679 E Princess Blvd	fCSd9Hm3d7TztGlogVKZYA	34.0	Worth Visiting	Fairmont Princess Gold Lounge	4.0	4.1	7	
83	4280 Drinkwater Blvd, Ste 200	xCL38K0oPgK3ydzg4CrvKg	904.0	Must Visit!	Simon's Hot Dogs	5.0	4.8	233	
84	3213 N Hayden Rd	xko9a0myoKffQMzz96O2jA	192.0	Worth Visiting	Little Chicago Pizza	4.0	4.0	68	
85	7704 E Doubletree Ranch Rd	9i7m5zn2ky8Z63dth11UWg	509.0	Worth Visiting	Wally's Pub and Grill	4.0	3.7	107	
86	2515 N Scottsdale Rd, #12	jhqWJuPYpb-2XWfkP7b_lA	1.0	Worth Visiting	Caribbean Fusion	4.0	3.6	20	
87	9500 Via De Ventura	Zj4092--r1Z8izd3Uq8lKg	50.0	At your own risk	Opa Life Greek Cafe	3.0	3.3	39	
88	20825 N Pima Rd	VBVqHnViRLSYAqP7v8iNNQ	350.0	Worth Visiting	Jalapeño Inferno	3.0	3.3	158	
89	6000 E Camelback Rd	M9gwHW1oIiIqjdT76yOBDA	536.0	Must Visit!	J & G Steakhouse	4.0	3.8	256	
90	7045 E 3rd Ave	gPa_C5oQRvoiwQU6DuWS8A	75.0	Worth Visiting	Crudo	4.0	4.3	42	
91	8787 N Scottsdale Rd	dj4eotH4cBqbeIH2CgSmYg	609.0	Worth Visiting	Pei Wei	3.0	3.1	100	
92	34522 N Scottsdale Rd	wEWvo1-lnj5ZcItvLp2sDg	60.0	Its your say finally!	Subway	2.0	2.4	12	
93	7601 E Shea Blvd	2c3N10T40XI9W6EgoXNOYA	14.0	Worth Visiting	The Cafe at Scottsdale Bible	5.0	4.7	9	
94	7575 E Princess Dr	aBfqMhfrog3SWOcEmUabmQ	47.0	Its your say finally!	LV Bistro	2.0	2.3	10	
95	7240 E Main St, Ste C	0kyhbUW6NkpYjJzFBZ64vQ	528.0	Worth Visiting	The Cider Mill	4.0	3.9	92	
96	28170 N Alma School Pkwy	XTqovJIERskUcTnUNxhp_Q	57.0	Worth Visiting	Pony Express Cafe	4.0	4.3	41	
97	7144 E Stetson Dr, Ste 250	58Tt3nU1E0MxKK-Bd_sjhA	2.0	At your own risk	Acua	3.0	3.4	5	
98	7272 E Indian School Rd, Ste 105	-exEWEQ3iSMVC-QUP_ycPQ	230.0	Must Visit!	The Original Marketplace	5.0	4.9	65	
99	15323 N Scottsdale Rd	16rLCEnPWG1jYAgY7NorTQ	68.0	At your own risk	Parc Central	3.0	3.4	40	
100	8001 E Indian School Rd	JQLUWnceJyKuMDqV0HHRUg	441.0	Its your say finally!	McDonald's	2.0	1.9	46	
101	7501 E Camelback Rd	yZAGhlsrmupLbrgdKm6reg	1993.0	Jewel of a place!	Don & Charlie's	4.0	3.9	538	
102	4151 N Marshall Way	kKfX_V-CouF9XyZaRh51Aw	258.0	Worth Visiting	Dottie's True Blue Cafe	4.0	3.7	50	
103	15050 N Northsight Blvd, Ste 101	pX7ftE5CySOa-5cpuJl_ZA	326.0	Worth Visiting	Pastries N Chaat	4.0	4.2	72	
104	15425 N Scottsdale Rd, Ste 180	1kytABjYhj3naF4vLQEbYQ	460.0	Worth Visiting	Nekter Juice Bar	4.0	3.9	132	
105	7134 E Thomas Rd	IhZe5wnt49PDyVhfHz8sQQ	565.0	At your own risk	Max Sports Grille	3.0	3.1	72	
106	8320 N Hayden Rd, Ste 100	lw5O3g9hl41l9fKLkmvJGA	165.0	At your own risk	Buster's On the Lake	3.0	3.4	36	
107	5101 N Scottsdale Rd	Q28MO9hEMyG0xrAnOF-dSw	94.0	Must Visit!	Stand Up Scottsdale Comedy Club	5.0	4.7	190	
108	10155 E Via Linda, Unit 135	5KWJZHhG88echvquDBu4iw	40.0	At your own risk	Tronco Sonoran Grill	3.0	3.2	45	
109	9301 E Shea Blvd	wH4Q0y8C-lkq21yf4WWedw	240.0	Worth Visiting	Nekter Juice Bar	4.0	4.0	51	
110	7333 E Indian Plz	czhels9QL_TAAtLbBtnkow	1574.0	Must Visit!	The District	4.0	3.8	157	
111	8989 E Via Linda	wrQG6xvECjz0CbBft8oS9Q	217.0	Worth Visiting	The Lunch Bag	4.0	4.3	81	
112	8624 E Shea Blvd	UydVmlfxab6O-CSnjeGZRw	411.0	Worth Visiting	Bamboo Club	3.0	3.1	148	
113	10460 N 90th St	PDKq1UQQG1UjVRJ12weQ8A	982.0	Jewel of a place!	Flower Child	4.0	4.2	350	
114	15111 N Hayden Rd, Ste 110	TShoU62Hm-4wH2EzwkJbrg	767.0	Must Visit!	Saigon Nites Vietnamese Cuisine	4.0	3.8	225	
115	2200 N Scottsdale Rd	yqYtY3-Po4OVPafA9Z-Xyw	3928.0	Jewel of a place!	Bei	4.0	4.2	495	
116	7607 E McDowell Rd	SSRRQm8tGCmXXbt3las2Ww	139.0	Must Visit!	Gluten Free Creations	4.0	4.4	102	
117	34442 N Scottsdale Rd	kCEsqLtBaabQN2Z7c6eL6Q	3.0	Its your say finally!	Haggen Food & Pharmacy	1.0	1.0	3	
118	13838 N Scottsdale Rd	auB5N35tEmkczfiv915FbQ	25.0	Its your say finally!	Burger King	2.0	2.4	12	
119	9500 East Vía De Ventura	Ai2k3oZOXzVqJA72DpfjOw	6.0	Its your say finally!	Johnny Rockets	2.0	1.5	8	
120	10070 N 90th St	IohmLyQ-spRYgGldapMSyg	260.0	At your own risk	Schlotzsky's	3.0	3.1	40	
121	6501 E Greenway Pkwy	RScKS72p6_AykRRwZOxqog	1.0	Its your say finally!	Roni's Pizzeria	1.0	1.2	5	
122	11144 N Frank Lloyd Wright Blvd, Ste E9	pEAK3gldYMwpuJfdn8y2Ew	273.0	Must Visit!	Pars Persian Cuisine	4.0	3.9	159	
123	2934 N Hayden Rd	sNQ5ZaDneM31V6Qe_19d9g	161.0	At your own risk	Hungry Howie's Pizza	3.0	3.1	71	
124	9301 E Shea Blvd, Ste F102	dZh_YnKaX41cPHg1nTOx-g	476.0	Worth Visiting	Chipotle Mexican Grill	4.0	3.8	48	
125	16275 N Scottsdale Rd	mGgzEpWVNnnpJuv4xrsieA	94.0	At your own risk	The Great Indoors	3.0	3.3	9	
126	4218 N Scottsdale Rd	mcs0y8YobgpO1gYB7hclwQ	166.0	Worth Visiting	My Big Fat Greek Restaurant	3.0	3.4	53	
127	7158 E 5th Ave	JIETwXSEGIHMNyxZVEnNKQ	8931.0	Jewel of a place!	Original ChopShop	4.0	4.1	705	
128	4252 N Drinkwater Blvd, Ste B	O_2VEWa6ExYX5HpF3GW5yg	1280.0	Worth Visiting	Pearl Sushi Lounge & Bomber Bar	3.0	3.2	146	
129	Scottsdale Fashion Square, 4500 Scottsdale Rd	TP6hgLCNGkqjFne9nCfaiA	59.0	Worth Visiting	Fred's at Barneys New York	4.0	3.8	25	
130	14692 N Frank Lloyd Wright Blvd, Ste 142	AXNmHEWINuETAuuTd80Q2g	5.0	Worth Visiting	Papa Murphy's	4.0	4.2	6	
131	6977 N Hayden Rd	kUuJ8TDXWz8J2Tnz2sqtuA	172.0	Worth Visiting	Bueno Burger	4.0	3.8	68	
132	6830 E 5th Ave	zFUsSyXtDqVkx5hNzN4-gg	211.0	Worth Visiting	Jack's Place Public House	4.0	4.0	65	
133	20751 N Pima Rd, Ste 105	FQhe0AuYA-XuJUCuOiWhUQ	157.0	Worth Visiting	All American Modern Sports Grill	4.0	3.7	106	
134	9343 E Shea Blvd, Ste 100	VoXUt6TIJWyIf_lihbN5xQ	660.0	Must Visit!	Stone & Vine	4.0	3.7	205	
135	7467 E Frank Lloyd Wright Blvd	D42-sxkmZy2fn4BkZaEkbA	1557.0	Must Visit!	In-N-Out Burger	4.0	4.1	199	
136	10050 N Scottsdale Blvd, Ste 127	IdyHd4T3rZ1pyPaU5DKWMg	132.0	Worth Visiting	The Standard Kitchen & Cocktails	4.0	3.8	36	
137	9500 E Via De Ventura, Ste D-210	uBj_DKha3DkQM48K8ZLfjg	17.0	Its your say finally!	Nekter Juice Bar	2.0	2.5	6	
138	7001 N Scottsdale Rd, Ste 171	Q0EZmATxDphzRMszNV2LVg	2012.0	Must Visit!	Wildflower Bread Company	4.0	4.2	222	
139	7111 E Thomas Rd	HWjqW5ZFJ8eZRQuHcpySQA	60.0	Worth Visiting	Caldero	4.0	4.1	36	
140	7000 E Shea Blvd	e9UsRb-fmza5ukU8Ftduew	4180.0	Must Visit!	Jasmine Tokyo	4.0	3.6	359	
141	15040 N Nothsight Blvd	Hpi9raHlFm6prTSzFHTurg	396.0	Worth Visiting	Corleones Philly Steaks	4.0	3.6	136	
142	20511 N Hayden Rd, Ste 100	Im49KBfHINebC0ptNz8srg	33.0	Worth Visiting	Miller's Deli & Grill	4.0	4.2	20	
143	15416 N Pima Rd	-dhuOV5E2-H0K39ez58K9A	121.0	Its your say finally!	Wendy's	2.0	2.5	21	
144	4216 N Brown Ave	nfDPXxOOVAU6OpI9sl3Flw	468.0	Must Visit!	Vines & Hops	5.0	4.9	105	
145	1645 N Hayden Rd	qPz-Uq6CTp6pq8LtmpIe3Q	3.0	At your own risk	Shogun Express	3.0	3.2	8	
146	4915 N Pima Rd	WIT9QNiSIFqoLbP1mKfVFg	10.0	Its your say finally!	Subway	2.0	2.2	4	
147	7707 E Mcdowell Rd	eicvsg691EUgto8p1CCLsQ	56.0	Worth Visiting	Sevens Bistro	4.0	3.9	69	
148	14842 N Frank Lloyd Wright Blvd	reb_K9E81SIsxZeg26kVFg	177.0	At your own risk	Jack In the Box	3.0	3.0	21	
149	3370 N Hayden Rd, Ste 120	3yMmo1sERpks50quoaA8PQ	811.0	Must Visit!	Uncle Sal's Italian Restaurant	4.0	3.9	305	
150	9090 E Indian Bend Rd	x0dMACZ3NlDWTDyFAW0jHw	546.0	Must Visit!	RoadHouse Cinemas	4.0	4.1	242	
151	7401 N Scottsdale Rd	8syeNR6GsIBp1r99vUuHhQ	57.0	Worth Visiting	Pinon Grill	3.0	3.5	50	
152	8018 E Thomas Rd	pt4YdbpVeU6P7j8g_Bvsmw	56.0	Worth Visiting	Donili Pizza Kitchen	4.0	3.6	27	
153	7615 E Pinnacle Peak Rd, Ste B-1	Xz7Iv0dO-FEKpFooeULfiw	57.0	Worth Visiting	Harvest Restaurant	4.0	3.7	24	
154	14880 N Northsight Blvd, Ste 103	Rubh4UGWy5-JaR_tsmuizg	31.0	Worth Visiting	Thai Chef's Bistro	4.0	4.2	15	
155	14700 N Frank Lloyd Wright Blvd, Ste 159	sYX_x8GPm92pBRwbq_gTHQ	68.0	At your own risk	Bogeys Grill	4.0	3.5	25	
156	37700 Desert Mountain Pkwy	_INFdJRnEGeBD8zlg6egqQ	73.0	Worth Visiting	Desert Mountain Cochise/ Geronimo Clubhouse	5.0	5.0	7	
157	3060 N 68th St	XcOy_IMkPO9jGBox6mHT8w	900.0	Must Visit!	El Original Tacos Jalisco	4.0	4.2	200	
158	3133 N Scottsdale Rd	u73j2VQ3TGWdMO-AG7MABw	1528.0	Jewel of a place!	Lo-Lo's Chicken & Waffles	3.0	3.3	617	
159	4341 N 75th St	Da4E88htQ_FTOB9HgGcdBQ	2.0	Worth Visiting	Lumberjack's Taco Shack	5.0	4.7	7	
160	34034 N 69th Way	YIXuqhe1ViZ85ptLeB6kdQ	7.0	Worth Visiting	Terravita Golf and Country Club	5.0	5.0	4	
161	28190 N Alma School Pkwy, Ste 209	xVoPh8oCb29J5dMURoowBg	127.0	Worth Visiting	Rare Earth	4.0	3.6	73	
162	7150 E 6th Ave	Sy75QB18Sv-xNp8FoA8KvQ	4853.0	Jewel of a place!	Geisha A Go Go	3.0	3.3	533	
163	7001 N Scottsdale Rd	Euu79b2o5k5RZReIuThBWg	82.0	At your own risk	Fogon - A Mexican Eatery	3.0	3.1	65	
164	14418 N Scottsdale Rd, Ste 181	4LB4xtFAwfvJRachr6Eaxw	1073.0	Must Visit!	Sauce Pizza and Wine	4.0	3.7	171	
165	7217 E 4th Ave	Zq1yNHUirFTZdVWf4YCQhw	829.0	Worth Visiting	Even Stevens Sandwiches	4.0	4.3	72	
166	8777 N Scottsdale Rd	S75Lf-Q3bCCckQ3w7mSN2g	225.0	Worth Visiting	Notorious Burgers	4.0	3.6	98	
167	7353 N Via Paseo Del Sur	-F5mm0-YeCI7viSiOwVAAw	2418.0	Must Visit!	Lox, Stock & Bagel	4.0	4.0	245	
168	20825 N Pima Rd	fbU7gHEG5A-cFxH33ouQ4A	49.0	At your own risk	Mia Francesca	3.0	3.2	29	
169	20825 N Pima Rd	Co3AtKUoAv_BxDQqRnZwhQ	10.0	At your own risk	San Felipe's Cantina	3.0	3.1	10	
170	13802 N Scottsdale Rd, Ste 171	GMcit-31kUNFVulQGwSEwA	388.0	Worth Visiting	The Good Egg - Thunderbird	4.0	3.7	75	
171	9990 N 90th St	93E1eOQ2bQG0OyIMqdcTvg	210.0	At your own risk	Whataburger	3.0	3.1	44	
172	3360 N Scottsdale Road	HZuzY6nCEnz39nyloDCV8A	204.0	At your own risk	Red Lobster	3.0	3.4	31	
173	20831 N Scottsdale Rd, Ste 115	vA7gCRT0JsgSYy0U8NY0nA	104.0	Must Visit!	Poke Spot	4.0	4.5	106	
174	7117 E 6th Ave	wJY74R0zAgjxvBf-d4gm9g	4497.0	Must Visit!	Kelly's At Southbridge	4.0	3.6	239	
175	9800 E Talking Stick Way	Fll5sCBsLpwpss87z9ikQg	19.0	Its your say finally!	Palo Verde Lounge	2.0	2.2	4	
176	15801 N Frank Lloyd Wright Blvd	DzVexh7EGld_2ziA1lRq9w	592.0	Worth Visiting	Smashburger	4.0	3.5	140	
177	15560 N Frank Lloyd Wright, Ste B	lMvPJEzcPoHdeQLu6_LHKw	66.0	Its your say finally!	Subway	3.0	2.7	9	
178	15257 N Scottsdale Rd, Ste F-230	Y5CTA3S9TVkpr3Yvwaki-A	2389.0	Jewel of a place!	iPic Theaters	4.0	3.7	489	
179	14344 N Scottsdale Rd	eDlgbI0Qg_mmI-Osvci0gw	2555.0	Jewel of a place!	Sapporo	4.0	3.7	544	
180	7301 E Butherus Dr	TsZCPkpQDXwvlL31ZXQjoA	9.0	At your own risk	Jilly's American Grill	4.0	3.7	3	
181	15720 N Pima Rd	zNm3C496tg-jcrvG5khRUg	97.0	Worth Visiting	Peter Piper Pizza	4.0	3.8	11	
182	4280 N Drinkwater Blvd, Ste 200	lWc6CdEyEpThhnKc-2Nbtg	299.0	Its your say finally!	Quiznos	3.0	2.8	10	
183	7633 E Indian School Rd	ZgglKZaiIPcSUmtGaJoRag	10.0	At your own risk	Julio G's	3.0	2.7	36	
184	32409 N Scottsdale Rd	7JkPRXmtRmspIX_k3zMNvg	49.0	Worth Visiting	Teatro Pizzeria and Wine Bar	4.0	3.5	45	
185	2805 N Scottsdale Rd, Ste 103	s_ozG9Jg9j3eqHX-1bpTTA	54.0	At your own risk	Pizza Five85	3.0	2.9	17	
186	15681 N Hayden Rd	eC7g6wsBeHDz_RWmOWk01A	411.0	Worth Visiting	Narai Thai + Sushi	4.0	3.8	85	
187	4280 N Drinkwater Blvd, Ste 100	pCFazBS7GS62fOf08NaUUw	1.0	At your own risk	Blue Agave	3.0	3.0	4	
188	8777 N Scottsdale Rd	WF05nlZiHqY9C8xwVtPhyA	170.0	At your own risk	Panera Bread	3.0	2.7	44	
189	5401 N Scottsdale Rd	MiScfzRrYOSuN4Hxr5M9oQ	80.0	Worth Visiting	En Fuego	4.0	3.9	15	
190	15355 N Northsight Blvd	hJTjv6Q5JpcsvHaX8Ze59A	64.0	Its your say finally!	McDonald's	3.0	2.6	7	
