	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range		
26	3qgEB0R-5n5A1hOH83FzhA	Hidalgo Mexican Food	801 E Broadway	8.0	25	At your own risk	3.1	3.0		
27	0kgib8EeCvEerG1R4T1okg	Posidon Greek Restaurant & Market	961 W Main St	16.0	25	At your own risk	4.0	4.0		
28	32RDYS1pxMytL1rBSF__UA	Papa Murphy's	1955 West Baseline Road	87.0	19	At your own risk	4.1	4.0		
29	O5jWRmilHqaW54ChJh1oFg	Peter Piper Pizza	1906 W Rio Salado	161.0	36	At your own risk	2.6	3.0		
30	10GxV6JOKPoR1w5KC2iZjA	Soda Bun Thai Food	2740 S Alma School Rd, Ste 5	740.0	148	Must Visit!	4.7	5.0		
31	Yv9zUwWSyig0xhgDsv4qjQ	Popeyes Louisiana Kitchen	5329 S Power Rd	7.0	14	At your own risk	3.4	3.0		
32	uWJ9AtXLAlD9OgvY4ZQlIg	Cafe Rio	2748 S Signal Butte Rd	22.0	32	At your own risk	2.5	2.0		
33	MrRu3ZE1QKaXfAzfOtAkDw	Durger Dog	2235 S Power Rd, Ste 120	56.0	20	At your own risk	4.0	4.0		
34	5h2DIYpfzc7KDTFg18uuew	China Rice	1352 E Broadway Rd	31.0	57	Worth Visiting	3.9	4.0		
35	IFr8JOyjuMjf0xrmAJmsVg	Paradise Bakery & Cafe	6555 E Southern Ave, Ste 2014, Superstition Springs Mall	8.0	8	At your own risk	3.0	3.0		
36	czzDEma3urPeWdNcItOyPw	Great China Super Buffet	6005 E Southern Ave	15.0	8	At your own risk	2.6	3.0		
37	ckQdUPdUOX18yOhE2aV8sA	Asi Es Mi Tierra	9333 E Main St	133.0	79	Worth Visiting	4.1	4.0		
38	dv2LfEn4p3ncG_1jYIoZ7g	Sonic Drive-In	6935 E Baseline Rd	37.0	28	Its your say finally!	1.4	1.0		
39	djZua1IbMN9KBEWJXKW1MA	Carl's Jr.	1850 S Country Club Dr	59.0	16	Its your say finally!	2.2	2.0		
40	EnDm1TQPMrVvq0nAZqeWaA	Subway	1840 W Southern Ave, Ste 12	24.0	7	At your own risk	2.4	2.0		
41	Op-nvSmAKWSG5buIecfaag	Pie Five Pizza	1230 E Baseline	31.0	28	Worth Visiting	4.1	4.0		
42	7-p1-QG4a1-kWoPFI2mUYg	Annabelle's Dining & Lounge	425 S Power Rd	20.0	13	At your own risk	2.7	3.0		
43	6EYmMjaQU0UHjA8PbQKI7Q	Subway	1145 S Power Rd	9.0	3	At your own risk	3.7	4.0		
44	B-pELAaG6vPfa3eQAUk98A	Sushi Stop Udon & Grill	2023 W Guadalupe Rd, Ste 14	102.0	83	Worth Visiting	4.7	5.0		
45	QpSUvreiuTGDjZ8dMKYDTg	Four Points by Sheraton Mesa-Gateway Airport	6850 E Williams Field Rd	44.0	31	At your own risk	3.7	4.0		
46	g8adhQQp3NDCA6GcHJ7szQ	Modern Grove	1958 E Brown Rd, Ste 103	113.0	109	Worth Visiting	3.3	3.0		
47	rYPpbhnucRdLmpmcjUqoFA	El Bigo Taco	202 E Broadway Rd	6.0	13	Worth Visiting	4.3	4.0		
48	VxgjMl8tQrT4idJW_z8daA	Carrabba's Italian Grill	1740 S Clearview Ave	381.0	123	Worth Visiting	3.9	4.0		
49	cAwyXwW_IfaXVCkX_lL25g	Baja Fresh Mexican Grill	3420 E Baseline Rd	38.0	14	At your own risk	3.1	3.0		
50	PoF4lo92h-oREht66m9JSw	Grandma's Kitchen	405 W Main St	32.0	30	At your own risk	2.7	3.0		
51	v9EqcuA6eUvriLRwxbxQNw	Amazing Jake's Food & Fun	1830 E Baseline Rd	411.0	180	Worth Visiting	2.8	3.0		
52	2pMT5SBfn4oGr_Ae1tp8vQ	JJ Madisons	430 N Power Rd	334.0	115	Worth Visiting	3.0	3.0		
53	QprhQn2o-KbsfG1yKRmEmQ	Jack in the Box	1945 W Main St	32.0	12	Its your say finally!	2.3	2.0		
54	RF8OASm57WJtWG3tk69qVA	Jimmy John's	1730 W Southern Ave	65.0	23	At your own risk	2.8	3.0		
55	DtSfgYvhcUA1vda_Ypj7cQ	Filiberto's Mexican Food	6728 E. Main St	10.0	4	Its your say finally!	1.8	2.0		
56	qdd1DHfeKHE72_djJxCJdQ	Macayo's Mexican Table	1920 S Dobson Rd	660.0	215	Worth Visiting	3.0	3.0		
57	KzCyiOcmnJR08P7PyJ4knQ	Coco's Bakery & Restaurant	1862 W Baseline Rd	73.0	22	At your own risk	3.0	3.0		
58	whTqmbE6OzlJUhm_vMtKqw	Pizza Hut	2056 E Baseline Rd	22.0	17	At your own risk	2.4	2.0		
59	EJs6fYFdecCjXq8pCsA2dA	Papa Kelsey's Pizza & Subs	9124 E Apache Trl	146.0	69	Worth Visiting	3.9	4.0		
60	R8d_LNHUt7GTZtQSeM-uAg	Wienerschnitzel	1225 South Higley	74.0	16	At your own risk	2.9	3.0		
61	QtNvhMHwbSrrRtaOwXeYJA	Pizza Pie Cafe	6555 E Southern Ave, Ste B44	14.0	18	At your own risk	3.3	3.0		
62	uAyXrnFaXw2FBiYnmncDuw	Famous Dave's	1011 N Dobson Rd	992.0	209	Must Visit!	3.8	4.0		
63	9PBfeIO-4_oNTJ_pfyesUQ	Subway	3550 E Southern Ave	24.0	10	At your own risk	2.6	3.0		
64	E-rwWFxwtKQm-IoAwnTh2Q	Ariana's Kabob & Gyros	1155 S Higley Rd	28.0	14	At your own risk	3.5	4.0		
65	uFMOQUE4TsxEt7ifnblBpg	Dickey's Barbeque Pit	1914 S Power Rd, Suite 101	206.0	115	Worth Visiting	2.9	3.0		
66	lsKv0IDdj3c6Y8bT6taxSA	Lucky Lou's American Grill	1929 N Power Rd	492.0	100	Worth Visiting	4.0	4.0		
67	m6XI2DDUqsg9blBD1IAnNA	Road House Grill	7000 E Main St	12.0	3	At your own risk	3.3	3.0		
68	3Mc-LxcqeguOXOVT_2ZtCg	Waldo's BBQ	4500 E Main St	755.0	270	Must Visit!	3.8	4.0		
69	O-KCkhDi2BKSke4Uvild6g	Jen's Pizzeria	3929 East Main St, Ste 16	3.0	4	At your own risk	3.8	4.0		
70	iJBnqweAPDTCfyMcRrG90w	Giant Hamburgers	2753 E Broadway Rd, Ste 104	667.0	343	Jewel of a place!	4.3	4.0		
71	_4UK9z9ycMPd9AWxJBD1Gw	New China Buffet	1159 E Main St	10.0	13	At your own risk	2.6	3.0		
72	w-SkKR92IBQMJmI_pUjKGw	L & L Hawaiian Barbecue	1641 S Stapley Dr, Ste 103	42.0	29	Worth Visiting	4.3	4.0		
73	Y441_3bKYom62PQWhG_5Gg	Waffle House	5055 E McKellips Rd	126.0	26	At your own risk	3.3	3.0		
74	RvMdC1gcJyVoj3RXPPdAyQ	Jack in the Box	427 W McKellips Rd	29.0	8	At your own risk	4.1	4.0		
75	J5lgLvoKPzNqGCGPbznh-Q	China Express	1940 W Baseline Rd	31.0	20	At your own risk	3.9	4.0		
76	82mWTnfbGDE1jJ2NDMxfNw	Pita Jungle	1850 W. Southern Ave.	1155.0	243	Must Visit!	3.8	4.0		
77	5PwYiNSkeiwmrnyOBj5IMQ	Carl's Jr	1916 S Greenfield Rd	70.0	16	At your own risk	3.0	3.0		
78	24YIAXzArY1w2GXzoUbcmw	Wok In	7530 E Main St	288.0	107	Worth Visiting	3.8	4.0		
79	2g6x4ISNiMxFnotBuwmZmw	Dos Gringos	1958 S Greenfield Rd	424.0	116	At your own risk	2.7	3.0		
80	p-_P8826nhtfqGmhMHW_Jg	Julie's Chicken and Waffles Just Soul Babee	1445 W Southern Ave	8.0	3	Worth Visiting	4.7	5.0		
81	pYZnKIv0z-UxrpgBjp_z1w	Kokobelli Bagel Cafe	1155 S Power Rd	470.0	154	Worth Visiting	3.9	4.0		
82	OQH2cl8SPWp9HR5S_CXFgA	Subway	2753 E Broadway Rd	8.0	8	Its your say finally!	1.8	2.0		
83	iBvF9Oy9UdOrXvTlxNHyqw	La Casa De Juana	1976 W Southern Ave	69.0	80	Worth Visiting	3.7	4.0		
84	nOpytM8qazjVf2Gu0bqWmg	Josephine's Italian Restaurant	7641 E Guadalupe Rd	14.0	10	At your own risk	3.0	3.0		
85	3yb5khz4PCjiHI4ZbxfitA	Pizza Hut	9333 East Apache Trl, Ste 101	5.0	12	Its your say finally!	2.2	2.0		
86	CtIQFYX_XRf3N41LLSpUjg	Mango Thai	1440 S Country Club Dr, Ste 10	49.0	30	At your own risk	3.2	3.0		
87	o1SDx95NHJY47dkSCvRnGQ	Chipotle Mexican Grill	4984 S Power Rd, Ste 107	249.0	45	At your own risk	3.3	3.0		
88	-oSII3bw90cvyLmgsHgmpg	Mokis Hawaiian Grill	3614 E Southern Ave	335.0	185	Worth Visiting	3.5	3.0		
89	05SEa-U2s2EBjfCEuI290Q	Hot Dog on a Stick	1445 W Southern Ave	27.0	6	At your own risk	3.8	4.0		
90	kEc9uZmCXyM_XbdQyYBeEw	Long Wong's Dobson	502 S Dobson Rd, Ste 16	36.0	28	At your own risk	3.8	4.0		
91	jnEeU5rAhKt-ORxk9L1LYw	Fat Willy's	9937 E Baseline Rd, Ste 101	148.0	66	At your own risk	2.3	2.0		
92	ZhO6_8Vc-zfRxvDDvDBynA	Nekter Juice Bar	3440 East Baseline Rd, Ste 103	272.0	91	Worth Visiting	3.9	4.0		
93	iwaxS9C2dDO5ttLdpa2S9g	Ned's Krazy Sub	101 S Signal Butte Rd, Ste 101	6.0	3	At your own risk	4.3	4.0		
94	Aeg__6qMf9-1Fo7TZ1RkHA	The Trough Bar & Grill	9303 E Apache Trl	15.0	23	At your own risk	3.0	3.0		
95	qMJCVx6-ZYvZQHlfrZ_cug	Big Bowl Restaurant	1910 E Broadway Rd	27.0	37	Worth Visiting	4.3	4.0		
96	EYLT-7qniN0WGrfgVwmwnQ	Rolbertos Restaurante	606 W Main St	31.0	13	Worth Visiting	4.6	5.0		
97	GWv_NfJzBlpEbCTthrWa9Q	The Grill On Main	124 W Main St	44.0	28	At your own risk	2.8	3.0		
98	H_kmGpsFi5siSe6czjtoCg	China Panda Buffet	1326 S Country Club Dr	1.0	3	At your own risk	2.7	3.0		
99	0PO-AN12WzQKh2qnxYNbeg	Contigo Peru	1245 W Guadalupe Rd, Ste B-8	109.0	57	Worth Visiting	3.9	4.0		
100	JznTpiPQVpfnV7mEw6PpOQ	Papa Murphy's	1242 E. McKellips Road	46.0	9	At your own risk	4.1	4.0		
101	zWLosp9soUtbEAe6oldrqQ	Swan Thai	5110 E Southern Ave	85.0	25	At your own risk	3.5	4.0		
102	Oe6cb42EkFvIWwEIooY-OQ	BJ's Restaurant & Brewhouse	6622 E Superstition Spgs Blvd	1119.0	238	Must Visit!	3.4	3.0		
103	dqSHsdKjsLXP8lqloBDPXg	Sonic	647 E McKellips Rd	38.0	16	Its your say finally!	1.8	2.0		
104	cdPnRYnfKrbeEUAoSJONtw	Tqla	1840 S Val Vista Dr	744.0	231	Must Visit!	3.6	4.0		
105	5g5iV8w6SK9KHtcbhwGirg	Old Chicago	6821 E Superstition Springs	458.0	40	At your own risk	3.2	3.0		
106	-c_MUp1XdJnC8LofTEPLTA	Red Brick Pizza	1041 N Dobson Rd, Ste 102	15.0	6	At your own risk	3.2	3.0		
107	A-tuGeY27KN2OGE9D-tkbw	Bread Basket	2820 E University Dr, Ste 110	28.0	33	Worth Visiting	4.3	4.0		
108	80gdzmn-E3IaXK7Z6qzC6A	Costa Vida Fresh Mexican Grill	1744 S Val Vista Dr, Ste 106	479.0	161	Worth Visiting	3.6	4.0		
109	mRUVMJkUGxrByzMQ2MuOpA	Beast of Bourbon Bar & Grill	2235 S Power Rd	1.0	9	At your own risk	3.6	4.0		
110	7yY_jzvV75Zv52dfn9PIkQ	Sarku Japan	1445 W Southern Ave, Ste 2158	50.0	12	At your own risk	3.8	4.0		
111	rXskMt3Y_Bs1PiGKN3N3sg	Fat Willy's	1762 S Greenfield Rd, Ste 111	373.0	83	At your own risk	2.6	3.0		
112	Ns4tjgLfqR1qawGlNFROBA	SN Pacific Rim Asian Kitchen	1236 E Baseline Rd	212.0	109	Worth Visiting	3.7	4.0		
113	eobkI2jIFXjdUiv-5LCV9w	Pizza Hut	9053 E Baseline Rd, 105A	1.0	12	Its your say finally!	2.1	2.0		
114	vCRgJTNdWcKuN8rxjvo8Xw	Jack in the Box	5965 E Main St	18.0	8	At your own risk	2.4	2.0		
115	ISk87T1Va8tV2HlpgWQ8mA	Village Mini Market	1224 N Gilbert Rd	7.0	8	At your own risk	3.5	4.0		
116	bsauQzwixetBDjA7SqUlVA	Crackers & Co Cafe	535 W Iron Ave, Ste 131	1439.0	458	Jewel of a place!	4.3	4.0		
117	y7CMNXCilj1M1U93F7v0KQ	Smashburger	6807 E Baseline Rd, Ste 101	54.0	40	At your own risk	3.0	3.0		
118	YHWjW9GLcuNtnh_xdCSOeA	Pizza Fresh	1940 S Val Vista Dr	8.0	3	At your own risk	4.3	4.0		
119	Jhz-8IqPf_2YUWsbGFyDNA	The Cutting Board Bakery & Cafe	2235 S Power Rd, Ste 116	912.0	299	Jewel of a place!	4.2	4.0		
120	lN7TT9a9k1th0aTyVwfbVw	Hambone Sports Bar and Grill	903 E Main St	77.0	29	At your own risk	3.7	4.0		
121	1I555FApTVfQA9QR9GyIMg	Greenfield's Deli	4437 E Southern Ave	39.0	13	At your own risk	3.8	4.0		
122	IW2aHAzU5p60T7xUTLPaIw	Kneaders Bakery & Cafe	6611 E McDowell Rd	56.0	62	At your own risk	2.8	3.0		
123	66MT1BxbarD_0CzkwQ1--A	R.T. O'Sullivan's	1610 S. Stapley Dr	320.0	41	At your own risk	2.6	3.0		
124	teTQU7TIPE0O_B1zN_239w	Mimis Cafe	1250 S Alma School Rd	440.0	155	Worth Visiting	3.4	3.0		
125	HnpV9DkAV3dF88XgalLFbQ	Pho Viet Nam #2	1042 N Higley Rd, Ste 103	135.0	93	Worth Visiting	4.0	4.0		
126	XHidP878N9QMg5V-v7QrkQ	Serrano's Mexican Restaurant	1964 E McKellips Rd	265.0	69	At your own risk	3.0	3.0		
127	kLWWS2n4X8J8Szy_xVTPHQ	Chicagoland Hotdogs & More	1152 N Power Rd	138.0	77	Worth Visiting	3.8	4.0		
128	WKpCl0GBUph7Rb5LKKh71Q	Wendy's	4236 E Juanita Ave	33.0	12	Its your say finally!	1.9	2.0		
129	YorfCHa1phmnIQhEkrOmLA	KFC	420 North Alma School Rd	14.0	9	Its your say finally!	1.6	2.0		
130	hTZSfBGXMeNq0_1_6jdVAQ	Hooters	6730 E Superstition Springs Blvd	43.0	10	At your own risk	2.7	3.0		
131	Iur8bZ-qKXWl_tvQnaxVzg	Teriyaki Madness	1229 S Power Rd, Ste 105	554.0	130	Worth Visiting	3.4	3.0		
132	J3H6VSIgUTlACkb_HPFA8w	Broken Yolk Cafe	2034 E Southern Ave	322.0	199	Must Visit!	3.8	4.0		
133	Dp-i-Ai8Ue8hjyVRmYrprw	Burger King	2708 E University Dr	21.0	10	At your own risk	2.9	3.0		
134	dCa2dBDtuVVnyitJzQmXtg	Little Caesars Pizza	347 E Southern Ave, Ste 106	30.0	9	At your own risk	2.8	3.0		
135	Pg6t8mG-zWY3pRSdxlFnHg	Bella Pizza & Pasta	2905 S Ellsworth Rd	102.0	85	Worth Visiting	4.2	4.0		
136	tM_MMrMFwf5rJv9rbu4NQQ	Pete's Fish & Chips	22 S Mesa Dr	278.0	138	Worth Visiting	2.9	3.0		
137	Sb17eJkjHLjcPKSbpmRxWQ	Buffalo Wild Wings	6560 E Superstition Springs Blvd	636.0	111	At your own risk	2.9	3.0		
138	IiTLzksQAv9U8CW3s0bmlg	Rudy's Mexican Grill	8257 E Guadalupe Rd, Ste 114	50.0	45	Worth Visiting	4.3	4.0		
139	tnvZOd2vNCLPQS1KEZxqog	Dim Sum Cafe	2711 S Alma School Rd, (To the right of McDonald's)	64.0	77	Worth Visiting	4.6	5.0		
140	7qG2Yt4WOr9rI1v1LyFY-Q	Z-LANTRO Fresh Mexican Grill	1423 S Country Club Dr	27.0	19	Worth Visiting	4.5	4.0		
141	DV-tubtrEPacLsTms4CgZA	Gyros Place	1829 N Power Rd	130.0	73	Worth Visiting	4.2	4.0		
142	Gv2F-f0mUYhCCUKOshpj3A	Original Cuisine	1853 W Broadway Rd	43.0	33	At your own risk	3.2	3.0		
143	4VOxaNfc-YnaT1xamBOKUw	Wok On	1920 W Broadway Rd	8.0	7	At your own risk	4.3	4.0		
144	nbKSPpg3SONk_S_4ZR-t6w	Monsterland Bar & Grill	18 W Main St	319.0	74	Worth Visiting	3.6	4.0		
145	30PeUfYV_Jd4jcQNQxfTKA	BlueMoon Vietnamese Kitchen	1933 W Main St, Ste 8	192.0	55	Worth Visiting	4.0	4.0		
146	ufltmPizIHWx4MjnOzf_Sw	Ichi Ban Japanese	2015 S Alma School Rd	84.0	40	At your own risk	3.4	3.0		
147	9qIScKnMow7y8li_SsWYEg	Sonic	2847 S Ellsworth Rd	93.0	21	Its your say finally!	1.8	2.0		
148	YZooKeUCIu4TDCsy59YDHw	My Granny's Banana Pudding	1941 W Guadalupe Rd, Ste 118	11.0	18	At your own risk	3.6	4.0		
149	sktYwQ-votTQ43po3t6AMg	Arby's	2748 S Alma School Rd	21.0	3	Its your say finally!	2.3	2.0		
150	s_7ALFRcm-tOYM0oH9kaWw	Midwestern Meats	4308 E Main St	218.0	116	Worth Visiting	3.6	4.0		
151	mOFCSkPUPKjISMDhvz02HQ	Streets of New York	1959 S Signal Butte Rd	213.0	56	At your own risk	3.4	3.0		
152	S-Hksc_Hh_dMEbiTWDnblQ	Inside The Bungalow	48 N Robson	203.0	129	Worth Visiting	3.8	4.0		
153	zjQwbwGCxXSlt__t1voGUA	Jack-In-the Box Drive Thru	1860 W Southern Ave	20.0	3	Its your say finally!	1.7	2.0		
154	Kz7xk9J3YltU-ubNSqm8Tg	El Metate Mexican Food	6140 E Main St	50.0	33	At your own risk	3.3	3.0		
155	b4dtR83mPAcvmM2a7mqpGw	McDonald's	146 W Baseline Rd	21.0	17	Its your say finally!	1.6	2.0		
156	Am8Z5HlNXLO7dVmCNSeMKg	Papa John's Pizza	63 N Greenfield Rd, Ste 101	10.0	14	At your own risk	2.8	3.0		
157	5kafliYagjermFOJEoaSYw	Yogis Grill	2043 S Ellsworth Rd, Ste 104	212.0	82	Worth Visiting	4.1	4.0		
158	wu5nk3pY1e_ou_Le_U52Sw	Cheba Hut	1710 W Southern Ave	1007.0	283	Jewel of a place!	4.4	4.0		
159	73cpMzeoX52k3-qilLmWWg	Martha's Kitchen	1155 S Higley Rd	63.0	73	Worth Visiting	4.6	5.0		
160	9wS_BQBh9VGEb0645XBrhA	Casa Ramos	1526 E Main St	437.0	196	Must Visit!	4.1	4.0		
161	Qa28KVKttuch8opQfVRUAQ	Cup O'Karma	1710 W Southern Ave, Ste B7	110.0	42	Worth Visiting	4.0	4.0		
162	SDhXmtnSIDgoYZNf10xc2A	Little Caesars	1118 N Recker Rd, Ste 120	12.0	9	At your own risk	2.6	3.0		
163	TZRMn3WCmP6oczhDF5OPpA	Arizona Native Frybread	1437 E Main St	9.0	5	At your own risk	3.8	4.0		
164	oUvqwPJkorOnYZFKRt0oEg	Baci Italian Bistro	8830 E Germann Rd	328.0	236	Must Visit!	4.1	4.0		
165	ohEnmKpF7i2_ujme1p_vUQ	Cornish Pasty Company	1941 W Guadalupe Rd, Ste 101	3723.0	1023	Jewel of a place!	4.3	4.0		
166	Mp50uBWoZAXqSjaIZB7iow	Del Taco	1864 S Country Club Dr	161.0	32	At your own risk	2.8	3.0		
167	LVduZGsU7tgiL_IH6igs-w	Mother's Tamales	1940 E Broadway Rd	14.0	25	Worth Visiting	4.2	4.0		
168	j1fBzCH7FT8na8v6S3a3xg	Tropical Smoothie Cafe	2832 N Power Rd, Ste 102	11.0	24	At your own risk	3.5	3.0		
169	313pOZvjvoi6QI5oXgtRHA	Il Vinaio	270 W Main St	289.0	150	Worth Visiting	3.7	4.0		
170	Jgo9tQ0mCTYa-bRRoXSKNg	Long Wong's	1455 S Stapley Dr	93.0	52	At your own risk	2.6	3.0		
171	jlugn4wOjRZOLSuO1fyL9g	Subway	1940 W Baseline Rd, Ste 2	39.0	18	Its your say finally!	1.6	2.0		
172	PKuUfy9BUk9LsMgzDIRr8A	McDonald's	1213 S Greenfield Rd	60.0	9	At your own risk	3.4	3.0		
173	pr5VhK9vBbEIDN2_SIaVVw	Foodies Haven	2023 W Guadalupe Rd, Ste 14	14.0	12	At your own risk	3.9	4.0		
174	K1xl6XvZPCs8BgsbaVWQiA	The Little Kitchen	7127 E Main St, Ste B	36.0	21	At your own risk	3.6	4.0		
175	XaXO9XsxUjAUjXbzLG-Fdw	Pieology Pizzeria	1766 S Greenfield Rd, Ste 103	158.0	51	Worth Visiting	3.8	4.0		
176	pw-NzXGzwYkRfL6n2zk5IQ	Souper Salad	1649 S Stapley Dr	11.0	4	Its your say finally!	1.2	1.0		
177	9nHpqlu7be1466wdo_t5kQ	Red Robin Gourmet Burgers	6632 E Superstition Springs Blvd	525.0	105	Worth Visiting	3.4	3.0		
178	Nl8ph70io2a8VD6R14dIag	Happy Food Restaurant	1853 W Broadway Rd	14.0	13	At your own risk	2.9	3.0		
179	WDIlSjqtRZdFkE3Sv2v0Iw	Geno's Giant Slice	1152 N Power Rd, Ste 107	27.0	46	At your own risk	2.7	3.0		
180	YR5MtaOZHaArB6qTZkngQw	Royyim Thai Cuisine	1823 S Greenfield Rd, Ste 105	19.0	18	Worth Visiting	4.9	5.0		
181	3ENOCklTvW26cONNkScJ5Q	Chuck E Cheese's	7012 E Hampton Ave	99.0	44	At your own risk	2.4	2.0		
182	oAznEqsk1Q14lbHMenE4vw	Wendy's	1205 N Country Club Dr	75.0	20	Its your say finally!	2.0	2.0		
183	a9KwOmnTDB0tG720lOUn6w	Chipotle Mexican Grill	1335 S Alma School Rd, Ste 105	88.0	28	At your own risk	3.1	3.0		
184	ivgKHakMYMpsV1RIjQruOQ	Logan's Roadhouse	945 N Dobson Rd	502.0	161	Worth Visiting	3.0	3.0		
185	HLaSleAoR2PMF7s5ogqYqA	Village Inn	5012 S Power Rd	208.0	39	At your own risk	3.4	3.0		
186	iEEiRQjRct417O--f6QqZg	Streets of New York	542 W Baseline, Ste 105	144.0	71	At your own risk	3.0	3.0		
187	ovhGOgdvpYsAlKOSayPAAw	That Place Sports Grill	1038 E Main St	3.0	9	At your own risk	3.4	3.0		
188	E6p3Ea3740Uj0jaSA0nCNg	Pies N More	6671 E Baseline Rd, Ste 117	26.0	22	At your own risk	3.2	3.0		
189	sJItc3LbW4Edp5dK7T-QHA	Pita Kouzina	6447 E Southern Ave	2.0	4	Worth Visiting	4.8	5.0		
190	u9u-E8blEuyEGmtfeLA6Tg	19th Donut Hole	116 N Lindsay Rd, Ste 17	86.0	69	Worth Visiting	4.0	4.0		
191	v68-_x0b4YUWRFRu8x193g	Tom's BBQ	5005 E McKellips Rd	369.0	102	Worth Visiting	3.5	3.0		
192	D7ihF-r44rB2aT8k6oGQww	Allison's Texas BBQ	6750 E Main St, Ste 101	226.0	153	Worth Visiting	3.9	4.0		
193	w-eGy1D9PARuSHxbaS_FEA	Henhouse Cafe	805 N Dobson Rd	6.0	11	At your own risk	3.5	3.0		
194	VdQCZMAPpamXpEEO0zt0Iw	Woo Chi Super Buffet	1901 S Signal Butte Rd, Ste 101	25.0	33	At your own risk	3.5	3.0		
195	-zNJQZyjNQT8zymnX_eU0Q	Streets of New York	1939 S Val Vista Dr	17.0	4	Worth Visiting	4.5	4.0		
196	Mj9msHM8Dncb94VV3TdbTA	Sbarro Italian Eatery	6555 E Southern Ave, Ste 2512	12.0	5	At your own risk	3.8	4.0		
197	_QkQMs5ZsM0jS5er75yrCg	Orchard Eats	2036 N Gilbert Rd, Ste 6	383.0	164	Must Visit!	4.0	4.0		
198	Kzo1z1hW6224lNd3al2SbQ	Desert Peaks Pizza & Grille	5943 E Mckellips Rd, Ste 102	266.0	26	At your own risk	3.4	3.0		
