id address RestaurantID Checkins Recommended Name range Rating Reviews
184 "39 E Main St" ODURDhURWmZr6b--O4nt3w 179.0 "Consider this to visit!" "Jupiter's Pizzeria and Billiards" 4.0 3.8 96
185 "25 E Springfield Ave" hMgIF04rrJ7oB1lGIpFt5w 50.0 "Okay-ish Restaurant!" "South China Restaurant" 3.0 3.4 35
186 "6 E Taylor St" WDTzX_C2CbAwxBbqm-od6g 153.0 "Okay-ish Restaurant!" "Cowboy Monkey" 3.0 2.9 48
187 "1201 N Mattis Ave" S27XLKsX1B-scfdDQ4rTGQ 35.0 "Not everyone likes it!" Hardee's 3.0 2.7 3
188 "102 E Green St" BvARTl3t-aztQ9HPKc9xGQ 7.0 "Not everyone likes it!" "Domino's Pizza" 2.0 1.8 11
189 "900 W Bradley Ave" TjKE1Ji-XAdYDlxYMKvZAw 5.0 "Not everyone likes it!" "Krispy Krunchy Chicken" 4.0 4.1 9
190 "1900 S First St" RQxLNvAra_MUUPHdhukilA 159.0 "Moderately recommended!" Houlihan's 3.0 2.9 82
191 "404 E Green St" EVkytEhlC1nswqmgrHdviw 8.0 "Not everyone likes it!" "Bo Bo China" 2.0 2.3 30
192 "501 E Green St" 7AlULGZI1pHt0imODsqdkg 148.0 "Okay-ish Restaurant!" "Potbelly Sandwich Shop" 4.0 4.1 33
193 "2411 Village Green Pl" 6GJ9K4HadzMBZG4WY_P9bw 20.0 "Okay-ish Restaurant!" "Smoke 'Que & Brew" 4.0 3.5 23
194 "605 S 6th St" RwMlwusAtxZc5a3ZYduulg 38.0 "Not everyone likes it!" "Penn Station" 3.0 3.1 15
195 "410 E Green St, Ste 1" zTGxLMOd9crAz0XNzqrcrA 65.0 "Moderately recommended!" "Empire Chinese Restaurant" 4.0 3.6 47
196 "1 E Main St" NEVA0IYbawceL6kz5v5DAw 389.0 "Must visit!" Kofusion 3.0 3.4 246
197 "2033 N Prospect Ave" oK9mdYF8q0XSkhpKs8ChHg 85.0 "Not everyone likes it!" Wendy's 2.0 1.8 17
198 "404 E Green St" mZJdFjxvVddqPN5RZdKSHg 25.0 "Okay-ish Restaurant!" "Jurassic Grill" 4.0 3.7 35
199 "202 E Green St, Ste 1" vsoEZauF4lrADIqCYXySFQ 21.0 "Okay-ish Restaurant!" Chopstix 3.0 2.8 60
200 "2000 N Neil St" 9XMOJYI0jh6cycrZK9Js4g 2.0 "Not everyone likes it!" "Campus Burger" 2.0 2.3 6
201 "1305 S Neil St" th4pZ5LkoIIkb1Vmu_m2DA 326.0 "Consider this to visit!" Meatheads 4.0 4.0 144
202 "420 W Towncenter Blvd" VSkNNLEGTwVCjXTqQ4rCrg 8.0 "Not everyone likes it!" "Freddy's Frozen Custard & Steakburgers" 3.0 2.9 12
203 "403 E Green St" MPAPVFk66pplvv7rkcVfiQ 17.0 "Not everyone likes it!" "Sushi Avenue" 3.0 3.0 23
204 "2310 S Neil St" DDm_333l9fHzlv7yfuF5dQ 22.0 "Not everyone likes it!" Arby's 2.0 2.2 4
205 "608 E University Ave, Ste 105" wCB9mquz6W0ZuO5pPZXeDg 14.0 "Not everyone likes it!" "Lao Sze Chuan Champaign" 3.0 3.3 19
206 "619 S Wright St" _n5wggIEfBzCUepjgvHXAQ 65.0 "Okay-ish Restaurant!" "Sushi Ichiban" 3.0 3.1 51
207 "1109 W Windsor" vVdY2qDO7dkUrU8LXYZ1uA 26.0 "Okay-ish Restaurant!" "Green Jade" 4.0 3.8 30
208 "730 W Town Center Blvd" aELkI0mfF1EbQo_m44vEKg 89.0 "Okay-ish Restaurant!" "O'Charley's Restaurant & Bar" 3.0 3.0 44
209 "3602 N Mattis Ave" O1Sp0pDa8wmMfOC-FUGZFQ 23.0 "Not everyone likes it!" "Dairy Queen" 2.0 1.8 8
210 "623 E Green St" a39B-BfbCipNkNH7vwCfug 30.0 "Moderately recommended!" "Mid-Summer Lounge" 4.0 4.1 38
211 "1900 Round Barn Rd" b3qhOCXM_vpPsginjyP9Hg 2.0 "Not everyone likes it!" "Famous Dave's" 3.0 3.0 3
212 "1407 N Prospect Ave" X57f6FWZiwI1wOidPPhOrQ 320.0 "Consider this to visit!" "Dos Reales" 4.0 3.9 179
213 "2401 Village Green Pl" bsrqpg0zJZG4NMhA0W28LQ 83.0 "Okay-ish Restaurant!" "Espresso Royale" 4.0 4.3 15
214 "1917 W Springfield Ave" 4cPM1Hcj3UiN3fxyOsiR9w 105.0 "Consider this to visit!" "Li'l Porgy's Bar-B-Que" 4.0 3.8 84
215 "601 S 1st St, Ste 102" d_Wm9CpzIo_0T-XLfq1UcA 24.0 "Okay-ish Restaurant!" "The Hub" 3.0 3.3 45
216 "601 E Green St, Ste B" EZOoB2D8uQHV_gJoGCMTxQ 47.0 "Not everyone likes it!" "Jimmy John's" 3.0 2.8 11
217 "902 Meijer Dr, Ste 8" B2N_XO6fX0ILL9c50QuzHg 14.0 "Not everyone likes it!" "Taco John's" 3.0 3.1 14
218 "902 Meijer Dr" JCnFvoh7lU8PF_Yhh8bgOw 6.0 "Not everyone likes it!" "HuHot Mongolian Grill" 3.0 2.8 23
219 "2104 W Springfield Ave, Ste B" kokytV29X4717mjIC3H7Xg 24.0 "Not everyone likes it!" "Papa John's Pizza" 2.0 2.4 16
220 "601 S Wright St" 7siEeRGqAJ730IkwAtcWAQ 70.0 "Okay-ish Restaurant!" "Jerusalem Middle Eastern Cuisine" 3.0 3.5 48
221 "1705 S Prospect Ave" DjDcRTH09r1Yma6qd0om0Q 23.0 "Okay-ish Restaurant!" "Art Mart" 4.0 4.5 15
222 "616 E Green St" 5CSGxhesXkz2XNQB8AP6Kw 137.0 "Moderately recommended!" "Spoon House Korean Kitchen" 3.0 3.2 76
223 "401 E Green St" E6QAh8UPRo6Tlg6hkcWCHw 109.0 "Moderately recommended!" "Bombay Indian Grill" 3.0 3.5 85
224 "3214 Kimberly Dr" QHbrfA9nSNLFcevsfQk6dQ 32.0 "Not everyone likes it!" Wienerschnitzel 3.0 3.2 6
225 "706 W Marketview Dr" 8ed4YmEWPr5nfau82-OtCA 9.0 "Not everyone likes it!" Subway 2.0 1.7 6
226 "515 S Neil St" FM-rxNJP7eSXZGwizEd-Dg 117.0 "Not everyone likes it!" "Dunkin' Donuts" 3.0 3.2 19
227 "922 W Bradley Ave" rnQLIVk3U7HI7kHRMxC16A 2.0 "Not everyone likes it!" "Krispy Krunchy Chicken" 3.0 3.0 4
228 "2506 Village Green Pl" 1p6qHrapvuKpbZGLT9qskw 13.0 "Okay-ish Restaurant!" "El Patio" 4.0 3.8 30
229 "2000 N Neil St, Ste 714" TQg3tu8U3x8OaC2R4KKh7g 5.0 "Not everyone likes it!" "Mango Mango Creamery" 4.0 4.1 7
230 "44 E Sprinfield" 5lw5rrhFMz-liykUn8dGSw 7.0 "Moderately recommended!" "Fernando's Food" 5.0 4.9 29
231 "611 E Green St" rf8x3ZTUwzmRUyJgoIZllQ 9.0 "Not everyone likes it!" "Spicy Tang" 3.0 3.2 12
232 "510 E John St" wRJQdkMCbvIj269WjXtuyQ 18.0 "Not everyone likes it!" "White Horse Inn" 3.0 3.0 11
233 "206 N Randolph St" SUktrYdNQD8k2vvkM4OpfA 68.0 "Moderately recommended!" "Peking Garden Restaurant" 4.0 3.8 65
234 "204 N Neil St" l4x5FFzfiCFrGN0S-uZbBQ 64.0 "Consider this to visit!" "Nando Milano Trattoria" 4.0 4.0 138
235 "2029 South Neil St" -A4suUjxa7gNaiUMDjO42g 10.0 "Not everyone likes it!" "Farmhouse Restaurant At Harvest Market" 3.0 3.4 8
236 "617 E Green St" SCxtzXcvyk1hygdmOZqd1A 159.0 "Consider this to visit!" "Mashawi Grill" 4.0 4.4 88
237 "512 E Green St, Ste A" U7T6ioQJ17YPh_LG6xDTWA 31.0 "Not everyone likes it!" "Which Wich" 3.0 3.4 16
238 "1401 W Green St" iDDW5kjoLVN9rqrGM0cwjg 6.0 "Not everyone likes it!" "Rice Garden" 2.0 1.5 4
239 "409 N Mattis Ave" 5dCJy5oH6ZHqB_7cx76DhA 25.0 "Not everyone likes it!" "Pizza Hut" 1.0 1.4 15
240 "1706 State St" MQ-xcuUXXBYvrXzy7BmOFw 55.0 "Not everyone likes it!" Hooters 3.0 2.7 28
241 "106 N Walnut St" D6SCh4BwNb52wZIqXdS4JQ 383.0 "Consider this to visit!" "Esquire Lounge" 4.0 3.9 110
242 "2510 Village Green Pl" 6nMYROXu0VX4Ytpdsfi3XA 10.0 "Moderately recommended!" "Pie's the Limit" 5.0 4.7 24
243 "25 E Springfield" bXHbLuxyBZemyB0j7GJbTA 8.0 "Not everyone likes it!" "Boneyard Bar & Bbq" 4.0 3.8 4
244 "605 S Wright St" SuQpsHxcxCAB8kxPEIXiBg 19.0 "Okay-ish Restaurant!" Wonderdogs 4.0 4.0 17
245 "605 S Wright St" uGxZdLLgMQDvFSqiXyCg_w 91.0 "Moderately recommended!" "Ambar India" 3.0 3.4 60
246 "608 S 6th St" o5Mofj5KJkYAMs_fhxftpg 62.0 "Moderately recommended!" "Seoul Taco" 3.0 3.3 65
247 "1004 W Anthony Dr" jUddhNjGAE6W7MQKaUEZ4Q 30.0 "Not everyone likes it!" Ryan's 2.0 2.0 23
248 "607 S Wright St" ZMcbVIEXsLO7j1Q1GXKPSw 135.0 "Moderately recommended!" A-Ri-Rang 4.0 3.7 48
249 "207 W Clark St" HbK6IfznbVToEaKVC0WcSg 52.0 "Okay-ish Restaurant!" "The Clark Bar" 4.0 4.0 21
250 "Market Place Shopping Center, 2000 N Neil St" V-_Kh0RtKcKdQ0ON4eVQ-Q 61.0 "Okay-ish Restaurant!" "Buca di Beppo Italian Restaurant" 4.0 3.6 26
251 "1 E Main St" uGwwPkw2AEvKkVHiSufhzQ 18.0 "Okay-ish Restaurant!" "Jim Gould" 4.0 3.6 45
252 "408 E Green St" qIomOSnR0zaU7kv6K-0mcA 8.0 "Not everyone likes it!" "Tortica's Grill" 3.0 3.1 11
253 "401 S 1st St" D-B5LsTHJgrhsHVex4gyHA 46.0 "Okay-ish Restaurant!" "Layalina Mediterranean Grill" 3.0 3.3 51
254 "115 N Walnut St" Gvox18F9QxsSS9qG2O8E-A 109.0 "Consider this to visit!" "Sam's Cafe" 4.0 3.9 87
255 "610 E Daniel St" 0xjqQ2h5SzWe8zsHr6BG5w 2.0 "Not everyone likes it!" Subway 2.0 2.2 4
256 "116 N Chestnut St" Ez1U0wMD7Wws2BPAYfW3yQ 22.0 "Moderately recommended!" Luna 3.0 3.3 64
257 "2504 Village Green Pl" 8ztbiTDIi-2yQLVul58c5w 3.0 "Not everyone likes it!" "Doughbelly Subs" 4.0 3.8 5
258 "49 E Marketview Dr" pFvyOYi1O5umrbzGVYSYKg 3.0 "Okay-ish Restaurant!" "Edible Arrangements" 5.0 5.0 4
259 "2001 S Neil St" ZyOgY-z9sHdHp8_FDoQAJg 61.0 "Moderately recommended!" "Scotty's Brewhouse" 3.0 3.2 87
260 "611 E Green St" GkQxwsRXYioD2VtCjNfedw 53.0 "Okay-ish Restaurant!" "The Beef Stand" 4.0 3.7 23
261 "1402 S Neil St" zswdqM8Av3KxVv9o7_6ORA 100.0 "Moderately recommended!" "Rainbow Garden" 4.0 3.5 67
262 "2521 N Prospect Ave" i_t8WTwztuHweRqQ89hmuQ 56.0 "Not everyone likes it!" "Panda Express" 3.0 3.4 15
263 "611 E Green St, Ste A" Kws-gPJjF4RxLxJE_2BjKQ 90.0 "Moderately recommended!" "Mr. Kyoto" 4.0 3.8 63
264 "702 W Town Center Blvd" 5bTjUBhGbild5tuzfAmIJg 44.0 "Not everyone likes it!" Denny's 2.0 2.1 42
265 "2411 Village Green Crossing" xHjcLBgB3i9u_dHQZ8rirg 7.0 "Not everyone likes it!" "Wedge Tequila Bar & Grill" 3.0 3.2 14
266 "1905 N Neil St" 2YnUIGGmhoJX4Cd61nQLkg 89.0 "Okay-ish Restaurant!" "Za's Italian Cafe" 3.0 3.0 32
267 "2411 Village Green Pl" 1DedueD53YsKcpqMWPIe9w 27.0 "Okay-ish Restaurant!" "Cabo's Cantina and Grill" 3.0 3.4 23
268 "616 E Green St" qFwc6pD29qnTgd9tZDRYig 94.0 "Not everyone likes it!" "Panera Bread" 3.0 2.6 25
269 "608 S Sixth St" KedpWqBphmRopwBd7trzFw 20.0 "Not everyone likes it!" Wendy's 2.0 2.1 8
270 "715 S Neil St" m3qsb7Xf9Pivg9GAvx-gog 101.0 "Okay-ish Restaurant!" "Kamakura Japanese Restaurant" 3.0 2.9 59
271 "410 E Green St, Unit 3" 5_cn7M-9swHrFbnqZtYGBQ 258.0 "Consider this to visit!" "Bangkok Thai and Pho 911" 4.0 4.1 158
272 "403 E Green St" e88VWa9xdHmSFdMZne9eLQ 80.0 "Moderately recommended!" "Mandarin Wok" 3.0 3.3 56
273 "401 S 1st St" 0aA5l11oXes0aS6mkN5lMQ 19.0 "Not everyone likes it!" "Szechuan China" 3.0 2.8 36
274 "105 N Mattis Ave" ldKrUirpZZ6JDnNwOwLpvw 57.0 "Okay-ish Restaurant!" "Ichiban Buffet" 3.0 2.9 35
275 "604 E Daniel St" njngMI0mhAGJ-kH0oo68Ow 36.0 "Okay-ish Restaurant!" "Home of Gourmet Chinese & Thai Restaurant" 3.0 3.3 43
276 "1905 Glenn Park Dr" s173l3ubdDLHeFIBO3ydrw 33.0 "Not everyone likes it!" "La Bamba" 3.0 2.9 25
277 "606 S 6th St" PD2MAlYYi9HCqPH7IBKwTg 1.0 "Okay-ish Restaurant!" "La Bamba" 4.0 3.8 18
278 "502 E John St" -XH3-e3jDVdjHJq7GfNY7w 24.0 "Okay-ish Restaurant!" "Asian Taste Restaurant" 4.0 3.7 27
279 "2411 Village Green Pl" exx_UjNFHW2uPI1ZT7JFNA 4.0 "Not everyone likes it!" AnSun 3.0 2.8 12
280 "899 W Bradley Ave" xLeOANU-lqtDOIV6Owm3EQ 6.0 "Not everyone likes it!" "Mas Amigos Truck" 3.0 3.4 5
281 "2010 N Prospect Ave" ZGIkQIh3KTLM1yOCNpvU5Q 163.0 "Not everyone likes it!" "Steak 'n Shake" 2.0 2.1 42
282 "1909 W Springfield Ave, Ste B" dIZcPB3CtNjMn4O_p8QFxw 414.0 "Must visit!" "Original Pancake House" 4.0 4.2 177
283 "1206 N Mattis Ave" f_CDR6H4QL1K3SeaBe7r3g 94.0 "Moderately recommended!" "Sammy's Pancake House" 4.0 3.7 48
284 "1910 West Springfield" hxlfoblUAzNSOszKlyaV6g 57.0 "Not everyone likes it!" "Taco Bell" 3.0 2.9 15
285 "408 E Green St" u7jiuYiz-zVwsh0TGRHUIg 16.0 "Okay-ish Restaurant!" "Burrito King" 4.0 3.6 37
286 "415 N Neil St" wfO1xdAeJMb_miGDU19W-w 57.0 "Not everyone likes it!" "Carmon's Bistro" 4.0 3.6 17
287 "308 E Green St" IrW7miEN-X4Fzswh-2fYvg 9.0 "Not everyone likes it!" "Cafe Social" 4.0 4.1 8
288 "1217 N Prospect" uMHk2kudlAN94fFVNdYhxw 12.0 "Not everyone likes it!" "Long John Silver's" 3.0 2.7 3
289 "1903 Convenience Pl" 2pbOSrbB5AtQIa240AXNvQ 199.0 "Not everyone likes it!" "Panera Bread" 2.0 2.2 40
290 "1201 S Neil St" nh1-ax9wPNCqskcJYIWogg 7.0 "Not everyone likes it!" Buttitta's 3.0 2.9 16
291 "618 E Daniel St" t0HT9od2xZ0Fc5a0PFB2BQ 9.0 "Not everyone likes it!" Kam's 2.0 1.9 61
292 "410 E Green St, Ste 2" fbQjAy7MTR8hdt4Gg2H_dA 15.0 "Not everyone likes it!" "Milk Tea House" 4.0 3.6 18
293 "502 E John St, Ste 109" 68HNLNwMfXu1NuL_2E4N7A 66.0 "Okay-ish Restaurant!" Doodles 4.0 4.0 34
294 "45 E University Ave, Ste 101" QDA9xZaX4n0H7dbkTRyCYw 7.0 "Not everyone likes it!" Subway 2.0 1.8 6
295 "202 W Anthony Dr" CpNMXASiwtJv5eCDf0n63g 84.0 "Moderately recommended!" "Alexander's Steakhouse" 3.0 3.2 62
296 "2306 N Prospect Ave" eY8afQl17K4N2bf3z6nkCQ 21.0 "Not everyone likes it!" "HomeTown Buffet" 2.0 2.1 22
297 "2135 S Neil St" 9V4AGrJphOIw2RC1UoPPRw 32.0 "Moderately recommended!" "Caribbean Grill Restaurant" 5.0 4.9 41
298 "105 S 5th St" tjflM9icU-y6xqNntOXtOQ 91.0 "Okay-ish Restaurant!" "Far East" 4.0 3.6 30
299 "1405 S Neil St, Ste C" Z7r_FJXEyfyvVsyv2y7gFQ 51.0 "Moderately recommended!" "Cactus Grill" 4.0 3.8 49
300 "103 W Marketview Dr" J03fJlz-pi9x2oqxZ4vRng 3.0 "Not everyone likes it!" "Chevys Fresh Mex" 3.0 3.2 15
301 "608 West Town Center Blvd" qaS11gk1kIlrzCX1LYiZsw 48.0 "Okay-ish Restaurant!" "Super Niro Gyro" 4.0 3.6 42
302 "523 W Town Center Blvd" U8VXQaeog9wb_Y6hCkfitg 25.0 "Okay-ish Restaurant!" "Super Taco" 4.0 3.5 33
303 "505 E. Green Street, Ste 3" gaviK8-M4QdeoQOiAwdaYA 7.0 "Not everyone likes it!" "Jersey Mike's Subs" 4.0 3.5 12
304 "715 S Neil St" VuMgSpUJ9ONgSkddjM4JqQ 78.0 "Okay-ish Restaurant!" "Yori Q Korean Grill & Bar" 4.0 3.8 41
305 "1115 W Windsor Rd" O3zVw-VAcJi8ta4B6v5iAA 197.0 "Consider this to visit!" "Sun Singer Wine and Spirits" 4.0 4.0 90
306 "2006 S Neil St" C_Zj7H7bUJ5kGCwFmEwW6w 104.0 "Moderately recommended!" "B Won" 4.0 3.5 85
307 "621 E Green St" 24UHe1SZ4cgm6u6bU_L6xA 84.0 "Okay-ish Restaurant!" "Sushi Rock" 3.0 2.9 42
308 "2561 W Springfield Ave" E8b-loa-89wsnJpu9ff_Gg 117.0 "Okay-ish Restaurant!" "El Toro Bravo" 3.0 2.9 42
309 "1114 N Market St" YERn2kltXVj9936i6T4Q8w 35.0 "Okay-ish Restaurant!" "Big J J Fish & Chicken" 4.0 4.0 34
310 "2121 N Prospect Ave" r_QcMIgY2zxdcV40kK_rxw 70.0 "Not everyone likes it!" "Applebee's Neighborhood Grill & Bar" 2.0 1.9 36
311 "401 E Green St" OC5BqhpPhnJJr7IXLsXIbg 3.0 "Not everyone likes it!" "Papa D's Bar & Grill" 3.0 3.0 4
312 "2001 W Springfield Ave" zrtRx2bm55zVeYIpzLLm3w 63.0 "Okay-ish Restaurant!" "Niro's Gyros" 4.0 3.7 34
313 "1910 N Neil St" TEXUVhF-G_v2Sxwqti8HQA 374.0 "Okay-ish Restaurant!" "Old Chicago" 3.0 2.9 58
314 "603 S Wright St" gnqHyA6gY2-m9S-FKt6Xqw 319.0 "Consider this to visit!" Cravings 4.0 4.0 149
315 "903 W Marketview Dr" OrX0D6xwxmymxfzWRatT7Q 100.0 "Not everyone likes it!" Culver's 3.0 3.4 18
316 "1805 S Neil St" -2q4dnUw0gGJniGW2aPamQ 1.0 "Not everyone likes it!" "Fiesta Ranchera" 2.0 1.8 4
317 "2209 S Neil St" RnGG5bAz4nTPo_Ui99Kzbg 213.0 "Consider this to visit!" "Le Peep Restaurant" 4.0 3.6 105
318 "2029 N Prospect Ave" 5TPyzmhr3TKyWkPfzm01wA 62.0 "Not everyone likes it!" Fazoli's 3.0 2.8 20
319 "617 E Green St" lG9YdIb-87LK21XnMKvzFg 2.0 "Okay-ish Restaurant!" Teamoji 5.0 5.0 4
320 "35 E Green St" cLrsYJSVjDQbaVikQSpnbQ 20.0 "Not everyone likes it!" "Green Street Cafe" 3.0 3.3 11
321 "601 S 6th St, Ste 106" FsnwQwatA43aeGhJlxQ_Kg 17.0 "Okay-ish Restaurant!" "Paris Super Crepes" 4.0 4.2 11
322 "913 W Marketview Dr" x792tXM8gIf6-nU2IiiAEQ 57.0 "Not everyone likes it!" "Five Guys Burgers & Fries" 3.0 2.9 23
323 "1812 N Neil St" MqhxKfI7oMjUTMqH2gnhyg 70.0 "Not everyone likes it!" McDonald's 2.0 1.5 10
324 "1707 S. Neil Street" c9PkUjunOI49r9oO4ZJcmQ 48.0 "Not everyone likes it!" "Taco Bell" 2.0 2.5 18
325 "2105 W Springfield Ave" Y0_KRVDTasHCTh_P-WRSqg 52.0 "Not everyone likes it!" "Burger King" 2.0 2.5 4
326 "100 Trade Centre Dr" 8k2l-fbaeQU9lVG4oRgxUw 48.0 "Not everyone likes it!" "Prairie Fire Restaurant" 3.0 3.2 22
327 "528 E Green" yE4k_CM9L0yPVVozyELfSQ 147.0 "Okay-ish Restaurant!" "Noodles & Company" 3.0 2.9 44
328 "713 W Marketview Dr" mofOjB6flg-eAWOFbOkHfQ 45.0 "Okay-ish Restaurant!" "ChinaTown Buffet" 2.0 2.3 59
329 "2521 Village Green Pl" PmVxbit6HDDsEUS-j9aDfg 137.0 "Moderately recommended!" "Billy Barooz Bar & Grill" 4.0 3.5 70
330 "401 W Kirby Ave" t952QLgrh-5l1woJ4IFgUA 22.0 "Moderately recommended!" "Vinny's East Coast Pizzeria" 4.0 3.6 62
331 "1103 W Windsor Rd" h2vFVV5pJjn8arA7GR6mQg 19.0 "Not everyone likes it!" Zelma's 3.0 2.8 14
332 "1201 S Neil St" u8C8pRvaHXg3PgDrsUHJHQ 304.0 "Must visit!" "Papa Del's Pizza" 3.0 3.4 371
333 "710 S 6th St" GWS5s8HSm1zjqMLJD7wQLg 167.0 "Moderately recommended!" "Woori Jib Restaurant" 3.0 3.3 88
334 "305 Cedar St" C31ExBTn_6UxbTVkWPtNkg 129.0 "Consider this to visit!" "Yellowfin Japanese Restaurant" 4.0 3.5 98
335 "901 B West Anthony Dr" c2uAqJ2REpLMCZO2jxdi9w 54.0 "Not everyone likes it!" "Five Guys" 3.0 3.1 27
336 "2312 W Springfield Ave" QxbVPV2xndVP-nT1IRKF1w 7.0 "Not everyone likes it!" "El Torero" 4.0 3.5 16
337 "1701 S Neil St" PBmfdx-tC2D54FI3HtcKww 67.0 "Moderately recommended!" "The Ribeye" 3.0 3.3 63
338 "2401 N Prospect Ave" XbHxWOciYlBhJOjKRQbo9g 629.0 "Okay-ish Restaurant!" Meijer 3.0 3.4 49
339 "619 E Green St" xWGn7oqLOZu_00H8pZOtsQ 134.0 "Consider this to visit!" "Cracked the Egg Came First" 4.0 4.4 73
340 "112 E Green St, Ste A" xD6Q0UFxO8uE4bdaBDIMlA 44.0 "Moderately recommended!" "Hot Pot Lab" 4.0 3.7 46
341 "2102 W Springfield Ave" xE4WM5ZvtBkFnojFUTQfqg 14.0 "Not everyone likes it!" Wienerschnitzel 4.0 3.6 7
342 "505 S Neil St" t_yiQnxUDdPPCN2z4QyezA 656.0 "Must visit!" "Golden Harbor Authentic Chinese Cuisine" 4.0 4.4 362
343 "205 N Mattis Ave" ly0oNXKOoSZyr0mzOsVJhg 69.0 "Not everyone likes it!" "Monical's Pizza" 3.0 2.9 33
344 "1709 S Neil St" -S1BkxguVmi2G_O6Bcoabg 173.0 "Not everyone likes it!" "Steak 'n Shake" 2.0 2.4 43
345 "3902 S Duncan Rd" EYmj4QlhqgrsMXnLeGLu3Q 74.0 "Moderately recommended!" "Curtis Orchard & Pumpkin Patch" 4.0 3.6 54
346 "2511 Village Green Pl" JbnNk6do3aHF3Kr1bX4HzQ 240.0 "Moderately recommended!" "Jupiter's Pizzeria and Billards" 3.0 3.0 74
347 "1905 N Prospect Ave" PgMt7JtwUB-QUoRZAbwUng 178.0 "Not everyone likes it!" Chili's 3.0 2.9 35
348 "512 S Neil St" 6o6XxnI8RWhnAVSdxqCJWQ 26.0 "Moderately recommended!" "Jet's Pizza" 4.0 3.7 46
349 "1907 W Springfield Ave, Ste A" Piw4Xr1wNyL4lgmwLZ2eTg 10.0 "Not everyone likes it!" "Jet's Pizza" 3.0 3.4 8
350 "510 E John St" xistlMeIIjG21z2SaWvfVQ 5.0 "Okay-ish Restaurant!" "Kung Fu BBQ" 4.0 3.6 26
351 "2821 W Kirby Ave" EBai30hil5U6WzOQYwPIXA 2.0 "Not everyone likes it!" "Sammie's Pancake House" 2.0 2.3 3
352 "803 W Anthony Dr" gOMc2QcDaMIOkIVTShqoYA 26.0 "Not everyone likes it!" "Firehouse Subs" 3.0 3.3 23
353 "122 N Neil St" -Jhlh8Scjy669NdtCfKSSg 95.0 "Consider this to visit!" "V Picasso" 4.0 3.9 95
354 "2409 Village Green Pl" 1xeyFW6daV8jdt3dM1nhqQ 38.0 "Not everyone likes it!" Subway 2.0 2.4 5
355 "1312 W Church St" iLPBZ_ic0LyiviqfXbkjwg 33.0 "Not everyone likes it!" Hubers 4.0 4.1 10
356 "2000 N Neil St" K2lscpx0S9wpqNz0s9AIwQ 24.0 "Okay-ish Restaurant!" "Giordano's - Champaign" 3.0 3.0 39
357 "723 S Neil St" iLxG2Oo8HNSZFvJvba4W6g 185.0 "Moderately recommended!" "El Toro Mexican Restaurant" 3.0 3.1 86
358 "619 S Wright" tx_0mIXEr4TPucSYyfA2eg 9.0 "Not everyone likes it!" "Sarku Japan" 3.0 2.7 6
359 "1803 W Kirby Ave" wgImSrYc5LOcFaMcbOuxkg 10.0 "Not everyone likes it!" "Domino's Pizza" 4.0 3.9 10
360 "601 S 6th St, Ste 102" BkqM_Ou82P3gn_PTxEN3pw 50.0 "Moderately recommended!" "Ozu Ramen" 3.0 3.1 62
361 "2043 S Neil St" _TWp4gqGF7tQUGloTClcNg 57.0 "Moderately recommended!" "Brixx Wood Fired Pizza" 3.0 3.3 70
362 "1801 W Springfield Ave" yiWYJnHngOJWuP_CFP6Itw 12.0 "Not everyone likes it!" "Jimmy John's" 4.0 4.0 5
363 "1715 W Kirby" SgG5E7PUrCIsEMP0BVSlTg 77.0 "Moderately recommended!" "Cheese and Crackers" 4.0 4.2 67
364 "1702 W Bradley Ave" LwFlN4-f4cPHx6-gk8HlUw 8.0 "Not everyone likes it!" "Domino's Pizza" 3.0 3.3 3
365 "627 E Green St" kyXEnWKQGWSThY6EcjORuw 3.0 "Moderately recommended!" "Zorba's Restaurant" 1.0 1.0 4
366 "627 E Green St" kyXEnWKQGWSThY6EcjORuw 3.0 "Moderately recommended!" "Zorba's Restaurant" 1.0 1.1 4
367 "627 E Green St" kyXEnWKQGWSThY6EcjORuw 3.0 "Moderately recommended!" "Zorba's Restaurant" 2.0 1.6 4
